ID	#ofRts	HashTags	TweetText		URL	User	Randomize
1548	0	UFC211	...and Maia with such a classic walk out song, such a legend! 	Maia		GordieMcGuire89	1989
1375	0	UFC211, BJJelite	@demianmaia come on champ! Win this and no one can deny you the title shot anymore!  			RedStarRony	1988
1381	0	UFC211, UFCDallas	I still think @GamebredFighter &amp; @sergiopettis  are the same person lol   @MMALatestNws @TommyToeHold @MMAFighting 		https://twitter.com/i/web/status/863594693996818432	cminer74	1986
173	0	EasyMoney, ufc211, TopTeamTakeover	Let's go @GamebredFighter!!!    			AmericanTopTeam	1981
1617	0	UFC211	I'm super confident in Maia here. Which means Masvidal is about to mess him up. 	Maia		ThatBryceMartin	1976
357	0	UFC211	2-0 for ! Let's go mia for my 3-0!			DatBoiFlexJr	1975
339	15	UFC, UFC211	Matchmaker Joe Silva will be inducted into the  HOF this July. Well deserved for sure! 	Matchmaker Joe Silva		BeardedMMA	1974
1582	35	ufc211, camelliasolanabeach	"Headed to @rivolis to watch  
I'm super grateful to have been styled by  for this specia… "			Tempted_2_love	1973
109	0	ufc211	it's quase time 			bull_etproof	1971
1360	0	UFC211	What would your walk-in choon be, guys? 			_RayneScar	1969
159	108	Eurovision, UFC211, WhitePeople, CNNsotu, JudgeJeanine	"Remember when CNN colluded with HRC and the DNC? I do.

     "	CNN,HRC		caesarman2012	1968
595	0		🤔🤔🤔.....hard choice 		https://twitter.com/danawhite/status/863594054298324992	PegasusRush	1967
694	0	UFC211	Maia coming out to Linkin Park's - Numb 	Linkin Park		TheUFCUpdates	1966
1371	0	UFC211	 what's really funny @dc_mma was how mad Fitch was that someone took him down and held him down	mad Fitch		GriiffinNoel	1965
1655	0		These NUGGETS! 		https://twitter.com/ufc/status/863573881608589312	jacie_me_rollin	1964
667	0	UFC211	LETS GO MAIA! 	MAIA		ggooglyboogly	1958
1885	0	ufc211	Welp. I was cheering for Maia tonight. Then he had to walk out to Linkin Park. Yeah I don't know if I can do that now 	Maia,Linkin Park		MrIzdik	1957
216	0	UFC211	This is going to be some fight!! 			RossKiely95	1946
376	3	UFC211	I love that Masvidal doesn't even try to play to the cameras when shadowboxing 			gizzmo11477	1940
1486	0	UFC211	Now that I've talked shit to @eugeneSrobinson, @GamebredFighter has a jinx working in his favor.  		https://twitter.com/fight_whisperer/status/863593998564421632	Fight_Whisperer	1939
1434	0	ufc211	@FrankieEdgar is one impressive fighter 			TSDpod	1938
1663	0	UFC211	"@GamebredFighter wins the battle of walk out music. 
"			JerseyChi	1933
1142	0	ThrowBack, UFC211	Props to Maia for walking out to Numb  	Maia		teddyboivin	1932
289	26	UFC211	Crowd reaction says it all  			theysaymateo	1931
2042	0	UFC211	@FrankieEdgar will always be the fan's favorite.  Dude is a beast. He's humble.  And always brings it! 			theyoungjoo	1929
674	0	UFC211	Masvidal coming out to the Scarface theme. Aaaahahahaha 	Scarface		HishDev	1924
1259	0	UFC211	I pick Masvidal to win big here because Maia has Numb as his walkout song. 	Maia		_SeanDonnelly	1923
1313	0	UFC211, SignTheFeatherweights	@MeganA_mma I'm a huge Maia fan but I'm nervous for sure.   	Maia		TheShaneRussell	1922
561	0	UFC211, UFC, MMA	UFC hates Maia so much they make him walk out to Linkin Park.   	UFC,Maia,Linkin Park		AcostaIsLegend	1921
1073	0		I like both of these guys. I'll be sad no matter who wins. I'm leaning Maia tho. 		https://twitter.com/BloodyElbow/status/863592355923767297	ProfessorBLove	1918
646	0		Fuck sake man!!! 😷😳 		https://twitter.com/MMAFighting/status/863594252378316800	S_Shady7	1917
856	0	UFC211	Masvidal walking out to the Scarface theme music 	Scarface		evil_ecco	1915
13	0	UFC211	 Post Fight Interview with @DavidcBranchMMA 		https://www.youtube.com/watch?v=jHu9mP0LvZU	TheTruthJackson	1913
971	0	UFC211, UFCfi	Oh yes. Let's do diiiiiiz @demianmaia !  			LarsLapamato	1910
2096	0	UFC211	The timeline goes to shit when no sports are on....I'm watching  though 👍👊			500KFlea	1908
870	0	UFC211	Dunno why but Demian Maia coming out to Linking Park is hilarious 	Demian Maia,Linking Park		riju_nayak	1904
1336	0	UFC211	@ufc I didn't go to the beach with my fam bc i was hoping Yair would win the fight 😫 			MachineGunJofee	1902
128	0	maia, ufc211	Rooting for  			pcassidy_UK	1901
1940	0	UFC211	There may be no fighter on the UFC roster I'm more unabashedly rooting for than Demian Maia. 	UFC,Demian Maia		JesseScheckner	1900
511	0		Crap... 		https://twitter.com/MMAFighting/status/863594252378316800	marc_raimondi	1898
1993	0	UFC211	😳  @FrankieEdgar congrats! 		https://twitter.com/mmafighting/status/863594252378316800	byyeoside	1895
1726	0	UFC211	"CONGRATS JOE SILVA on the Hall of Fame @ufc
 "	CONGRATS JOE SILVA		islandmobosp	1891
1489	0	UFC211	Edgar just messed him up  	Edgar	https://twitter.com/Cagesidepress/status/863594553952976896	JayAndersonMMA	1885
536	0		Maia finna lose 	Maia	https://twitter.com/ufc/status/863593847410110466	MrDibsGotScampi	1883
1390	0	UFC211	Maia is awesome, but walking out to Numb by Linkin Park is not. 	Maia,Linkin Park		Super_EWilliams	1882
1257	0	UFC211	It's a joy to watch Maia. The epitome of a martial arts master. 	Maia		AckerooBanzai	1881
2050	0	DosSantos, Miocic, UFC211, boxing	Wow TV  UFC 211 Live   Stream Edgar vs.  Rodriguez      Get Your Link  	Edgar,Rodriguez	http://bit.ly/2rctMnc	muktanpi	1879
1732	0	ufc211	Gatekeeper doin his thing, that eye though 			Del_Thinks	1878
545	2	uFC211	The fight the UFC never wanted was Frankie vs McGregor.. it would have been interesting to see. 	UFC,Frankie		SchooiWood	1877
1682	0	Masvidal, UFC211	@danawhite bout to be $200K richer if  loses tonight? 			FightClipFilms	1876
1152	0	UFC211	God damn this is a good card. 			bradnewsbear	1875
1964	1		DC is awesome! 	DC	https://twitter.com/pwpnation/status/863586800153100290	PWPNation	1871
1335	0	UFC211	 results: @FrankieEdgar stops Yair Rodriguez via TKO at (5:00) of Rd 2. (doctor stoppage end of Rd 2/Yair eye swollen shut)	Yair Rodriguez,TKO		combatesmundial	1870
1509	3	ufc211	That's bullshit it shouldn't be a NC he should have got DQ 	NC,DQ		CodyS777	1866
584	0	UFC211	Sucks to see Yair lose like that. Edgar is just too dominant. Now let's go Masvidal !! 	Yair,Edgar		MisreadPoet	1865
261	1	ufc211	I'm giving you $5 off each of your first 4 Uber rides. To accept, use code 'jesusn919ue' to sign up.  			mrspdipset866	1863
942	0	UFC211	Can we please get this guy a title shot @demianmaia 			TeamEganMMA	1862
21	29	UFC211	How do you deal with Yair's style? Frankie Edgar had The Answer 	Yair,Frankie Edgar		GBilefete	1861
1578	0	UFC211	I feel like Maia didn't respond to the email requesting walkout songs and got stuck with Linkin Park. 	Maia,Linkin Park		BenjaminAbrigo	1860
477	1		Us handicappers shy away from nepotism and cronyism, @eugeneSrobinson. 		https://twitter.com/fight_whisperer/status/863593507050729472	eugeneSrobinson	1859
187	1	UFC211	Now I wanna watch Scarface. 	Scarface		mancillas_jose	1857
1574	0	UFC211	"🐐 GOAT QUOTE 🐐

@FrankieEdgar |  "			ufc	1856
170	0	UFC211	Before tonight's  main event, take one last look at who fellow @ufc fighters are picking in @stipemiocicufc vs. @junior_cigano. 		https://twitter.com/i/web/status/863594165577187328	MMAjunkie	1851
1871	0	IamwithFrankie, UFC211	"Let's go Frankie!!!! Knock this kid out!
 "	Frankie		RowdyTomCat	1848
1800	1	UFC211	Terrific fight here. Yair has championship potential, but is he ready to beat someone like Frankie Edgar? 	Frankie Edgar		RaCuevas	1847
1713	0	UFC211	@demianmaia coming out to a LP Song when @LIKINPARK_ was actually good. 	LP Song		GarryISRad	1846
1561	0	UFC211	@FrankieEdgar is a real life rocky balboa and an absolute legend 	rocky balboa		TDeathstar	1845
989	0	UFC211	Maia coming out to Linkin Narc? Ruh roh! 			theeffect1500	1844
142	1	ufc211	Let's get this Frankie 			CharlieGruver1	1841
1351	0	ufc211	Demian maia walking out to Linkin park!!! 	Demian maia,Linkin park		nickcox42	1839
1677	0	UFC211	"Demian Maia vs. Jorge ""Gamebred"" Masvidal is going to be SO interesting! I honestly don't know how this fight will end! Let's see! "	Demian Maia,Jorge		SexyJairBear	1837
1056	0	UFC211	MMAFightingThe fight is over. Edgar by TKO, doctor’s stoppage. 	Edgar,TKO		MMAHWatch	1835
550	1		No contest or not, lets hope those two get something from @ufc for that performance. Great fight while it lasted. 			anttopquality	1827
138	32	UFC211	We see you @ALIAQUINTA 😂  			Black_Lee13	1826
416	2	UFC211	Lol Frankie destroying him atm 	Frankie		FashionHitList	1824
1076	0	UFC211	Cool that matchmaker Joe Silva will be inducted into the UFC Hall of Fame. That's a tough job, pulled 100 different ways daily. 	Joe Silva,UFC Hall of Fame.That		ArdaOcalTV	1821
1373	0	UFC211	Demian Maia is so enjoyable to watch 	Demian Maia		Jumanator	1815
66	0	UFC211	Damn. Yair didnt stand a chance. 			Eliseo951	1812
1824	0	UFC211	Total mauling  Edgar schooled the young buck I think Maia bout to do the same ting .!	Edgar		shockusmaximus	1811
404	0	UFC211	I got Maia right here. But the Scarface music is definitely a cool touch from Masvidal. 	Maia,Masvidal		TheJakeMitchell	1809
630	0	UFC211	Ugh, DC's voice and personality annoys me. hope Jones destroys him in their rematch 	DC,Jones		DrunkRufie	1808
1681	0	UFC211	Ballsy move for Maia taking this fight. Says a lot for his confidence. 	Maia		OctagonPost	1806
1290	0	UFC211	Yair Rodriguez after 15minutes   	Rodriguez		BronsonMMA	1805
1521	2	UFC211	OMFG!!! WHAT A FIGHT!!! Chase Sherman vs Rashad Coulter !!! 	Sherman,Rashad Coulter		TheEnforcerJG	1800
1062	0	UFC211	Let's go Maia! 🇧🇷 	Maia		GordieMcGuire89	1799
1328	0	ufc211	Nice cold brewskis  and combat sports. I am in my happy place .			alstover	1797
1198	0	ufc211	Ok, Joe-Jitsu, we know Maia is great at BJJ, just relax. 	Joe-Jitsu,Maia,BJJ		billthebutcher2	1796
492	0	UFC211	"@GamebredFighter is the epitome of the overused term ""gangster""  "			laura_sanko	1795
1975	0	UFC211	 Whats up with the screaming lady in the audience? Plz shut her up!			breezey2399	1790
1466	0	UFC211	Linkin Park? Linkin Park. And the OLD Linkin Park. 	Linkin Park,Linkin Park,Linkin Park		johnmichaelsaid	1789
612	0	UFC211	Did Dana take that 200k bet...? 	Dana		liteshots	1788
780	0	UFC211	I'm taking @GamebredFighter just a beast of a fighter always has been 			MMA_KIN	1785
892	0	UFC211	"He's walking out to Linkin Park 😳😂
"	Linkin Park		_AIZENBERG_	1777
131	1	UFC211	Wow! @FrankieEdgar just taught a ground and pound clinic to the talented @panteraufc! @ufc  			RealFunnyMMA	1774
277	0	UFC211	I got Maia winning this 	Maia		2reel4you	1773
1472	0	ufc211	Sooo up in the air with this one! Great fight! Going with masvidal though 			kcpko	1771
94	266	UFC211	Huge shots by @FrankieEdgar land on Yair!  	Yair		JFCarterIII28	1770
962	0	UFC211	The cut man screwed over Yair Rodriquez in between rounds  cmon refs and cut men DO. YOUR. JOB! 	Yair Rodriquez		DeionTrueToATL	1769
6	256	UFC211	"Pure domination!

@FrankieEdgar reminds us that he's a straight BEAST!!  "			CoachJankos	1767
1322	0		Love @FrankieEdgar I want to see that title around his waist again! 		https://twitter.com/ufc/status/863593127210352640	OneOnly368	1758
1479	0	UFC211	is that fucking linkin park Meia?! 			DojoMaul	1756
801	1	UFC211	Exactly my thoughts  		https://twitter.com/thomasjw/status/863590834112872449	thomasjw	1754
560	0	UFC211	Let's go Maia ! 	Maia		DejaHill97	1753
1973	1		CNN exemplifies the empty calories of infotainment with meaningless noise signifying nothing but the dmise of state… 	meaningless noise		DoreeeV	1752
414	0	Dominant	RT Dmoceanu: 👊🏻 Always fights with his heart!   		https://twitter.com/ufc/status/863591471320059909, http://cur.lv/15582f	GetPaidinBlood	1749
1847	0	UFC211	"When one fighter enters to the song from ""Scarface"" and the other enters to  ""Numb"". Tells you the mindset of the fighters "	Scarface,Numb		TonyAbah01	1747
1016	0	UFC211	Let's go @demianmaia  			wehaveagronk	1745
1788	0	UFC211	Let's go @demianmaia! 			AjOsterkamp	1744
721	0	ufc211, ufc212	Holloway vs Aldo is going to be a 5-round war ending in a close decision. Anything else would be shocking imo  	Holloway,Aldo		JonBon_Joey	1743
1370	0		I feel like it's because he thinks the lyrics are about choking someone. 		https://twitter.com/EliasTheodorou/status/863594496042442753	TonyThumbPoke	1742
1639	0	UFC211	Maia vs. Masvidal giving me goosebumps.  	Maia	http://www.mmaplus.co.uk/round-up/ufc/ufc-211-live-blog-miocic-vs-dos-santos/	andremgeorgiou	1740
1441	0	UFC211, TheAnswer, saturdaynight, NewYork, RealDeal, livinglegend	@FrankieEdgar beat up @panteraufc like hes bestfriends with @bjpenndotcom      			SBTheCritic	1735
601	0	UFC211	Masvidal just oozes confidence 	Masvidal		RealCJHanratty	1733
1922	14	UFC211	"🇭🇷🇺🇸 @stipemiocicufc
🏆 Heavyweight Champ
👊 
📆 Tonight! "			_LeoLeoLeoLeo_	1732
4	0	UFC211	 that sucks that the fight didn't go all three rounds but Frankie Edgar got their Victory and that's good enough I guess but oh well	Frankie Edgar		chris_drop	1729
333	0	UFC211	 RT @TommyToeHold: Masvidal coming out to the Scarface music is one of my all time favorite entrances. It's perfect. 			FredoWin	1727
135	0	UFC211	  Masvidal got me convinced with that music.			Pete_Hero	1726
191	1	UFC211	"I got Masvidal, but don't feel confident at all about it. Maia is such a beast. Here's my breakdown 
"	Maia		blakjordanbreen	1725
904	0	UFC211	"""Gamebred"" vs. ""The Sleep-Inducing Backpack"" next! 🛌 "			IndeedIndeedInc	1723
120	4		". @FrankieEdgar was fired up walking by media row. He just sent a reminder to anyone who doubted him going into this fight
"			DbLaZe802	1714
1900	0	UFC211	"Maia with the Linkin Park classic walk out song 
"	Maia,Linkin Park		tootalljoness	1713
1769	0	UFC211	Yay Maia coming out to Numb by @linkinpark. Fucking love this guy. 	Yay Maia		joshflowers1	1711
534	0	ufc211	masvidal the executioner 			Demitriousj	1708
259	0	UFC211	 pretty crazy I bet you everybody thought that Frankie Edgar was going to get beat up because Rodriguez is so good but the opposite☺😀	Frankie Edgar,Rodriguez		chris_drop	1706
891	0	UFC211, edgarvsrodriguez	So far the prelims for  have been better than the main card. Last 3 were all fight of the night contenders. But  👌🏾			BoydAlmighty	1705
180	1	UFC211	Cuban nigga comes out to scarface theme song winner in my book, Arriba 🇨🇺!!!!! Lmao 	Arriba		hrln_89	1704
327	3	UFC211	I have so much respect for Frankie Edgar 	Frankie Edgar		FashionHitList	1702
540	0	UFC211	Masvidal is coming for that title! 	Masvidal		ElPayasoMMA	1701
101	52	UFC211	Wow! @DustinPoirier pouring it on Eddie Alvarez at !! 	Eddie Alvarez		AlwaysEvolving_	1697
1990	0		Hopefully he will never win another one. 		https://twitter.com/SeanSheehanBA/status/863592157751496704	TICKPADDYDARREN	1695
151	1	UFC211	Live community chat  Maia vs Masvidal on the Sherdog Forums!!!  @sherdogdotcom… 	Maia	http://bit.ly/2qeEnkm	SherdogDrake	1694
332	44	UFC211	Everyone who just watched David Branch def. Krzysztof Jotko please look into my pen here ....  	David Branch		AaronG80	1690
147	0	UFC211, DoctorWho, MasterofNone, frontcover, WangoTango, F4F	U have a secret here is a place to share it no judgements or DM is cool too      			JaneDoethinks21	1685
1148	0	UFC211	He came out to the scarface theme 😂😂 			800Hertz	1684
1233	0	TeamEasyMoney, UFC211	  let's go @GamebredFighter 			ricoj3323	1683
1876	0	UFC211	God, this fight is special. Masvidal/Maia @ufc @lthomasnews 	God		Chrismark94	1682
38	39	UFC211	Highlights from Frankie Edgar vs. Yair Rodriguez  	Frankie Edgar,Yair Rodriguez		ARomeroXVII	1681
799	0	UFC211	This is my main event 			RJD_96	1679
387	2		Let. Them. Know. 👊 		https://twitter.com/ufc/status/863593127210352640	KingCalmette	1678
161	138	UFC211	Frankie is a dream killer  Congrats 🎈	Frankie		JoshElliott313	1677
239	0	UFC211	I got Demian this fight 			Fuckjorgetbh	1676
44	0	UFC211	Maia vs Masvidal should be fantastic. Maia deserves the title shot but damn Masvidal is so much fun 	Maia,Maia		Luv_Shukla	1673
1048	4	FansWin, UFC211, JorgeMasvidal, DamienMaia	Yikes two of my favorite fighters up next!     @ufc			CollinBreaux	1666
1377	0	UFC211	@EliasTheodorou That first album was pretty sweet tho.... 			ArdaOcalTV	1665
11	40	UFC211	Punchfaces galore, y'all. That was ridic.  			GleidsonMMA	1663
430	0		Straight killer. 		https://twitter.com/ufc/status/863593127210352640	Slapcevic12	1662
624	0	UFC211	I like Masvidal but this is a easy win for Maia 	Maia		Moshinho	1660
1998	0		damn, @FrankieEdgar fucked him up pretty bad! 		https://twitter.com/mmafighting/status/863594252378316800	ItsJanado	1656
785	0	UFC211	If I can't watch a @TheNotoriousMMA or @Cody_Nolove fight ???  will do! Haha! Great card so far! 👊			Nameluss1	1655
2036	0	UFC211	"Dear Demian Maia,

Please don't get Nate Marquardted again by Masvidal.  @UFC"	Demian Maia,Nate		MikeJBknows	1654
1694	0	UFC211	Hope @demianmaia gives @GamebredFighter some humble pie 			Toby98	1653
725	2	UFC211	"More of the same by @FrankieEdgar
 "			FriskoAteUrKID	1652
678	0	ufc211	Already nervous as shit. Let's go @GamebredFighter !!!! 💪🏼💪🏼💪🏼			berdgit	1651
39	0	UFC211	Let's go @GamebredFighter !!!! 🔥👊🏻💪🏻 			Muay_Thai_Lover	1647
1697	0	UFC211	does another number one contendership keep his slot or does the Agent 47 of UFC take it from him 	UFC		DaDrainPipe	1645
1020	0	UFC211	Scarface theme I love it @GamebredFighter 			CigarCity27	1640
826	0		Damn 		https://twitter.com/MMAFighting/status/863594252378316800	Franksantin_23	1639
681	0	ufc211	"Frankie edgar vs cub swanson?
"	Frankie edgar		JoeRoga64441572	1637
789	0	UFC211	"Demian Maia walks out to Linkin Park “Numb” 
  "	Demian Maia,Linkin Park	https://www.youtube.com/watch?v=kXYiU_JCYtU	sherdogdotcom	1636
538	0	UFC211	"Jorge Masvidal self-imposing Arn Anderson's ""Enforcer"" duties on the UFC roster. "	Jorge Masvidal,Arn Anderson,Enforcer		SecretMovesMMA	1635
334	0	UFC211	 Post Fight Interview with @DavidcBranchMMA @BSO 		https://www.youtube.com/watch?v=jHu9mP0LvZU	TheTruthJackson	1634
2152	0	gamebred	Here we go!  		https://twitter.com/danawhite/status/863594054298324992	user004931	1633
1799	0	UFC211	If Masvidal can take Maia into the 3rd round, Maia will tire &amp; be susceptible to be KO'd. Otherwise Masvidal will be subbed in 1st. 	Maia,Maia,KO'd.Otherwise Masvidal		MontyArthur	1632
420	0	UFC211	What's up MichaelIrvin88?!   		http://cur.lv/15582f	GetPaidinBlood	1631
622	0	UFC211	Alright!!! 			JericsonCantubs	1626
1870	0		Yuuuuuckkkk. Doesn't even look like himself 		https://twitter.com/mmafighting/status/863594252378316800	ChrisC0llins	1625
1099	0	UFC211	@GamebredFighter coming out to the Scarface theme was cold as ice!! 	Scarface		EmpeyJoel	1624
