ID,HashTags,Time,TweetText,Outputs,URL,User,Randomize
20,"AHCA, ACA, RepealAndReplace, preexistingconditions",2017-05-04 20:22:08,A Health Plan CEO Daydreams ...     ,A Health Plan CEO Daydreams ...     ,http://bit.ly/2q4c6he,THCBstaff,6706
21,,2017-05-04 20:22:09,.@RosLehtinen my girl! ,.@RosLehtinen my girl! ,https://twitter.com/sahilkapur/status/860198806784266240,natiortega,7040
22,AHCA,2017-05-04 20:22:10,@RepChrisCollins WNYers know MOC exempted themselves from the worst parts of the  Your constituents wd like a word. Host a townhall. ,@RepChrisCollins WNYers know MOC exempted themselves from the worst parts of the  Your constituents wd like a word. Host a townhall. ,https://twitter.com/i/web/status/860228075187036160,CindyNG,6787
23,ObamaCare,2017-05-04 20:22:12,I called it when I woke up this morning  ,I called it when I woke up this morning  ,https://twitter.com/k8egreenthal/status/860122361181360128,k8egreenthal,6810
24,,2017-05-04 20:22:12,"This pic is what American Christians thinks represents the teachings of Jesus Christ.

Oh my fucking god! ","This pic is what American Christians thinks represents the teachings of Jesus Christ.

Oh my fucking god! ",https://twitter.com/whittyhutton/status/860220544989442049,Fuck_You_Twitr_,6714
25,AHCA,2017-05-04 18:30:54,Statement from @SenDeanHeller on . Not on board with current form. ,Statement from @SenDeanHeller on . Not on board with current form. ,,theschnittshow,6681
26,,2017-05-04 20:22:21,"Guess I'd better not get sick, have children or get older 😑😑😑 ","Guess I'd better not get sick, have children or get older 😑😑😑 ",https://twitter.com/SenatorLeahy/status/860197693590835201,Spookieloo92,6935
27,,2017-05-04 20:22:22,"thehill: ""Vote to repeal ObamaCare spells doom for House Republicans""  ","thehill: ""Vote to repeal ObamaCare spells doom for House Republicans""  ",http://hill.cm/t6VnoWQ,Angelus1701,6777
28,ObamaCare,2017-05-04 20:22:25, - The one that GAVE sits with a child in front. The one that TAKES stands to draw attention to himself. , - The one that GAVE sits with a child in front. The one that TAKES stands to draw attention to himself. ,,OPSVeracity,6879
29,,2017-05-04 20:22:30,"@ABCPolitics Why I will never vote democratic AGAIN. Goes 2 show how close-minded @HouseDemocrats R. But singing?  these a
R children not leaders.  ","@ABCPolitics Why I will never vote democratic AGAIN. Goes 2 show how close-minded @HouseDemocrats R. But singing?  these a
R children not leaders.  ",https://twitter.com/i/web/status/860228162545778688,DividedxWe_FALL,6831
30,,2017-05-04 20:22:41,"Disgusting, @SusanWBrooks , voting to let thousands of Americans lose  coverage to give tax breaks to the rich.   ","Disgusting, @SusanWBrooks , voting to let thousands of Americans lose  coverage to give tax breaks to the rich.   ",https://twitter.com/i/web/status/860228205118095360,KathyM_0962,6666
31,AHCA,2017-05-04 20:22:41,Thank you @RepThomasMassie for voting no on ,Thank you @RepThomasMassie for voting no on ,,twilabrase,7207
32,"healthcare, bill, aca, ahca",2017-05-04 20:22:44,Probably the real reason for the GOP celebrations at the WH just now.     ,Probably the real reason for the GOP celebrations at the WH just now.     ,https://twitter.com/thehill/status/859968587544625152,hanslejeune,6987
33,,2017-05-04 20:22:48,House Republicans are hoping that Senate will not kick the ball back to House before Nov 2018 when the chips will fall where they may.,House Republicans are hoping that Senate will not kick the ball back to House before Nov 2018 when the chips will fall where they may.,,RobertHoustonII,7066
34,,2017-05-04 20:22:49,He had no intention to listen to his constituents... ,He had no intention to listen to his constituents... ,https://twitter.com/TonyGuzzi1/status/860217686416130049,nutmom123,6826
35,AHCA,2017-05-04 20:22:50,"Republican idea is insurance companies are just going to drop premiums, cover more for less because they've done that before - ever
","Republican idea is insurance companies are just going to drop premiums, cover more for less because they've done that before - ever
",,Nataya,6865
36,,2017-05-04 20:22:51,They are only PRO-BIRTH.  Not PRO-LIFE. ,They are only PRO-BIRTH.  Not PRO-LIFE. ,https://twitter.com/PerryJuDo4ever/status/860227619236847616,redsvt1,7023
37,,2017-05-04 20:23:00,"When House Republicans secured their 216th “yes” on the American Health Care Act Thursday, Democrats immediately... ","When House Republicans secured their 216th “yes” on the American Health Care Act Thursday, Democrats immediately... ",http://fb.me/yYoWdKEK,QkTipcom,6774
38,Obamacare,2017-05-04 20:23:02,Let's go Michelle. We are off the hook before it imploded. Suckers   ,Let's go Michelle. We are off the hook before it imploded. Suckers   ,,jknightlinger,7124
39,,2017-05-04 20:23:02,FUCK THEM ,FUCK THEM ,https://twitter.com/shannonrwatts/status/860216330120814592,Jefflez,6986
40,AHCA,2017-05-04 20:23:02,"The Republicans heard the cries of millions who wanted healthcare, they did the opposite and did what insurance giants wanted. ","The Republicans heard the cries of millions who wanted healthcare, they did the opposite and did what insurance giants wanted. ",,DanPhetamine70,7026
41,,2017-05-04 20:23:03,"Honestly what IS our government anymore, on both sides?! ","Honestly what IS our government anymore, on both sides?! ",https://twitter.com/nytimes/status/860224038152622081,LANDO__Lakes,6737
42,GOP,2017-05-04 20:23:04,Live shot of  Congress celebrating a vote to strip millions of healthcare and literally sentence people to death.  ,Live shot of  Congress celebrating a vote to strip millions of healthcare and literally sentence people to death.  ,https://twitter.com/i/web/status/860228302459609088,RealChrisCal,6792
43,AHCA,2017-05-04 20:23:09, killed Jason Blossom, killed Jason Blossom,,AndrewAulthouse,6975
44,"Suckers, AHCA",2017-05-04 20:23:13,"You half wits that voted in this mess - didn't think he'd take away YOUR healthcare, did ya?  ","You half wits that voted in this mess - didn't think he'd take away YOUR healthcare, did ya?  ",,chasingsunny16,6960
45,AHCA,2017-05-04 20:23:14,Hey @Heineken can you stage an ad with some GOP congressmen and their sick constituents who might die now? Will that help? ,Hey @Heineken can you stage an ad with some GOP congressmen and their sick constituents who might die now? Will that help? ,,libbyjones715,6915
46,AHCA,2017-05-04 20:23:15,Please support @MikeLevinCA runs for Congress against @DarrellIssa what voted YES on  ,Please support @MikeLevinCA runs for Congress against @DarrellIssa what voted YES on  ,https://secure.actblue.com/contribute/page/mikelevin,ManduhMarlowe,6968
47,,2017-05-04 20:23:20,"@realDonaldTrump 
U did a good thing today U made sure all the house republicans will get to go home.
They will lose their seat and be hated","@realDonaldTrump 
U did a good thing today U made sure all the house republicans will get to go home.
They will lose their seat and be hated",,vicki_vickers,7148
48,"F4F, RT, news, Did",2017-05-04 20:23:22,    Republicans just wave bye-bye to their House majority? - Washington Post ,    Republicans just wave bye-bye to their House majority? - Washington Post ,http://ift.tt/2pKE6n6,WorldNews707,6659
49,Obamacare,2017-05-04 20:23:25,Cool!!!! Affordable Care Act  Drove Down Personal Bankruptcy - @ConsumerReports ,Cool!!!! Affordable Care Act  Drove Down Personal Bankruptcy - @ConsumerReports ,http://www.consumerreports.org/personal-bankruptcy/how-the-aca-drove-down-personal-bankruptcy/,EddyConnors,6811
50,AHCA,2017-05-04 20:23:27, The KKK (out of uniform) deciding what's best for America. , The KKK (out of uniform) deciding what's best for America. ,,flo_rizer,6942
51,"democrats, Republican, Puritans, AHCA",2017-05-04 20:23:29,For all d people who didn't vote cause  weren't for single payer i hope you are happy with the  version  ,For all d people who didn't vote cause  weren't for single payer i hope you are happy with the  version  ,,iloanya1,6735
52,AHCA,2017-05-04 20:23:33,Just when you think things cant get worse? These fucks never disapoint.  ,Just when you think things cant get worse? These fucks never disapoint.  ,,Chileno01280,7011
53,AHCA,2017-05-04 20:23:34,"1.) Domestic violence is a pre condition according to the , along with the huge almost 1 Trillion Medicaid cut, wife beaters paradise","1.) Domestic violence is a pre condition according to the , along with the huge almost 1 Trillion Medicaid cut, wife beaters paradise",,CaptainCrabs,6841
54,,2017-05-04 20:23:36,"Maybe I missed it, but I didn't see a single comment here saying you did the right thing. Party over country @RepKinzinger. We all see it. ","Maybe I missed it, but I didn't see a single comment here saying you did the right thing. Party over country @RepKinzinger. We all see it. ",https://twitter.com/i/web/status/860228438233419776,LelandYachtClub,6748
55,,2017-05-04 20:23:42,OBAMA HAS FAILED THE AMERICAN PEOPLE! His loyalty was to his Muslims in the hood. He fooled black+white America. What did he do for you? ,OBAMA HAS FAILED THE AMERICAN PEOPLE! His loyalty was to his Muslims in the hood. He fooled black+white America. What did he do for you? ,https://twitter.com/i/web/status/860228461906059266,IrresistibleDJT,7039
56,,2017-05-04 20:23:45,Disappointed with CA republicans for towing the line and following blindly. Thought you were better than that.  ,Disappointed with CA republicans for towing the line and following blindly. Thought you were better than that.  ,https://www.nytimes.com/interactive/2017/05/04/us/politics/house-vote-republican-health-care-bill.html?_r=0,erichwithach,7113
57,,2017-05-04 20:23:46,Exactly! Putting their seats in jeopardy for nothing! Way to go House Republicans! ,Exactly! Putting their seats in jeopardy for nothing! Way to go House Republicans! ,https://twitter.com/funder/status/860198762689548288,SheilaPettifor2,6727
58,,2017-05-04 20:23:46,"Local Rotund Toddler Dismantles Constituents' Health Care, Demands Treats ","Local Rotund Toddler Dismantles Constituents' Health Care, Demands Treats ",https://twitter.com/repalexmooney/status/860227529168343040,matthew_massie,6657
59,,2017-05-04 20:23:47,This is a Must. Every republican who voted Yes today has got to go. ,This is a Must. Every republican who voted Yes today has got to go. ,https://twitter.com/actblue/status/860208818189463552,cristo_monte,6997
60,AHCA,2017-05-04 20:23:49,"@IvankaTrump Thank you, Ivanka!  is splendid. ","@IvankaTrump Thank you, Ivanka!  is splendid. ",https://twitter.com/xeni/status/860152939809320960,kim,7162
61,"DEMS, AHCA, WeThePeople, BS, PJNET",2017-05-04 20:23:51,".@GOP is JUST like , shoving   down our throats that NO ONE has read!  s/ have month to rvw B4 vote! More ! ",".@GOP is JUST like , shoving   down our throats that NO ONE has read!  s/ have month to rvw B4 vote! More ! ",,Evilpa,6899
62,"Trump, AHCA",2017-05-04 20:23:52,"Yet another  lie or as Ann Courter puts it... he just ""bull sh*ts"".  bad for women who are charged more for insurance than men ","Yet another  lie or as Ann Courter puts it... he just ""bull sh*ts"".  bad for women who are charged more for insurance than men ",https://twitter.com/i/web/status/860228503454629888,LovelyRita1022,6893
63,AHCA,2017-05-04 20:23:56,1. A battered woman pays extra for health care while the guy who beat the shit out of her doesn't. ,1. A battered woman pays extra for health care while the guy who beat the shit out of her doesn't. ,,mrbabypants,7174
64,,2017-05-04 20:23:58,you hear that? Fuck all of them. ,you hear that? Fuck all of them. ,https://twitter.com/hangwithemRach/status/860210518455238656,Apt104,7101
65,AHCA,2017-05-04 20:24:03,Take note. This is just one consequence of the . ,Take note. This is just one consequence of the . ,https://twitter.com/igorvolsky/status/860173068358037505,belindabeezz,6670
66,AHCA,2017-05-04 20:24:04,"@rlgordon18_ruth   Yea Ruth, but the sky is falling! Most of these folks don't even rely on O'care for their insurance. They're just loving crying again","@rlgordon18_ruth   Yea Ruth, but the sky is falling! Most of these folks don't even rely on O'care for their insurance. They're just loving crying again",https://twitter.com/i/web/status/860228554088435713,ALMtnMan30cal,6723
67,,2017-05-04 20:24:04,Senate Republicans Already Say the House Health Care Law ‘Falls Short’ ,Senate Republicans Already Say the House Health Care Law ‘Falls Short’ ,https://www.millarmatthewsmedia.com/senate-republicans-already-say-the-house-health-care-law-falls-short/,MillarMatthews,6806
68,AHCA,2017-05-04 20:24:10,"Ignorance is the most curable, but most dangerous, disease. ","Ignorance is the most curable, but most dangerous, disease. ",,MsAJBossypants,6669
69,,2017-05-04 18:53:33,Welp. ,Welp. ,https://twitter.com/LegendofAmyAnn/status/860203580661395456,LaurenEMorrill,6930
70,,2017-05-04 20:24:20,"""We've been at this Dave Matthews concert for 75 years"" ","""We've been at this Dave Matthews concert for 75 years"" ",https://twitter.com/whittyhutton/status/860220544989442049,suzannishly,6834
71,,2017-05-04 20:24:21,Democrats broke into this chant after House Republicans voted to repeal Obamacare  ,Democrats broke into this chant after House Republicans voted to repeal Obamacare  ,http://ti.me/2pEbQ6T,SocialLifeMiami,7020
72,OBAMACARE,2017-05-04 20:24:22,"Trump has made it clear and House Republicans have too.
They don't care too much about you.
, TRUMP DON'T
  ","Trump has made it clear and House Republicans have too.
They don't care too much about you.
, TRUMP DON'T
  ",https://twitter.com/i/web/status/860228629057359872,ErinRHazel,7102
73,"ahca, 50StateStrategy, 2018Race, Drumpf, FlipTheCongress",2017-05-04 20:24:22,"Hey @DNC, 217 seats just became vulnerable in the House.      ","Hey @DNC, 217 seats just became vulnerable in the House.      ",,The_Guze,6749
74,"Obamacare, AHCA",2017-05-04 20:24:24,"House Republicans did their job and the left can't take it. Sorry losing isn't fun, not that I know what that feels like. 🤣
","House Republicans did their job and the left can't take it. Sorry losing isn't fun, not that I know what that feels like. 🤣
",,BooBooNyc,7192
75,AHCA,2017-05-04 19:43:25,Here's how every single person in the House voted on  ,Here's how every single person in the House voted on  ,https://projects.propublica.org/represent/votes/115/house/1/256,ProPublica,6949
76,AHCA,2017-05-04 20:24:28,"Republican  ""would erase the coverage gains of [ACA] &amp; leave 24 million more people uninsured"" @CNNMoney  ","Republican  ""would erase the coverage gains of [ACA] &amp; leave 24 million more people uninsured"" @CNNMoney  ",http://cnnmon.ie/2qvxMmd,LawyersVSLupus,7000
77,AHCA,2017-05-04 20:24:30,"@RepRooney @TomRooney 
Floridians will not forget your YES vote today on . Today you put Party before constituents &amp; we do not forget.","@RepRooney @TomRooney 
Floridians will not forget your YES vote today on . Today you put Party before constituents &amp; we do not forget.",,TraciLN1164,6914
78,,2017-05-04 20:24:30,Call your Senators AND the Representatives that voted for this bill. ,Call your Senators AND the Representatives that voted for this bill. ,https://twitter.com/LWV/status/860207460514238464,LWVNYC,6788
79,AHCA,2017-05-04 20:24:33,"Hey @SenatorMenendez and @CoryBooker, just wanted to confirm you'll both be voting ""NO"" when the  hits the Senate, right?","Hey @SenatorMenendez and @CoryBooker, just wanted to confirm you'll both be voting ""NO"" when the  hits the Senate, right?",,jp_polewczak,7103
80,"preexistingconditions, AHCA",2017-05-04 20:17:37,"RT if you:

-Have a mental illness 
-Care about someone with a mental illness 

 
","RT if you:

-Have a mental illness 
-Care about someone with a mental illness 

 
",,chasestrangio,7112
81,AHCA,2017-05-04 20:24:43,Is soulless asshat a pre-existing condition? ,Is soulless asshat a pre-existing condition? ,,muchredink,6998
82,"AHCA, disgusting",2017-05-04 20:24:47,"But honestly, how can you call yourself 'a civilized country' if health is not a right but a privilege?  ","But honestly, how can you call yourself 'a civilized country' if health is not a right but a privilege?  ",,ammit_,6823
83,,2017-05-04 20:24:53,"You're a special kind of ""stupid"" aren't you. ","You're a special kind of ""stupid"" aren't you. ",https://twitter.com/MeekKristy/status/860217316172328960,janis11121948,6655
84,"AHCA, Trumpcare",2017-05-04 20:24:54,"The asshole brigade. 
  ","The asshole brigade. 
  ",https://twitter.com/pbump/status/860224367673954305,blueplanetradio,7105
85,,2017-05-04 20:24:55,We must speak louder at the polls. Those who voted for this MUST be held accountable. Party affiliations can't come before human lives. ,We must speak louder at the polls. Those who voted for this MUST be held accountable. Party affiliations can't come before human lives. ,https://twitter.com/i/web/status/860228769268846593,PWJonesSr,6678
86,AHCA,2017-05-04 20:24:55,Voice your concern to reps - now. Proposed  bill will do serious harm to...  by  via @c0nvey ,Voice your concern to reps - now. Proposed  bill will do serious harm to...  by  via @c0nvey ,"http://ln.is/ZVS7Z, https://twitter.com/i/web/status/860228768731983873",ilhanbahar2001,7202
87,"obamacare, aca, ACARepeal, Portland, healthcare, healthinsurance",2017-05-04 20:24:58,"Healthcare bill passed, what does it mean?       ","Healthcare bill passed, what does it mean?       ",,HealthPlansinOR,6663
88,"AHCA, ThankyouTrump",2017-05-04 20:24:59,  for relief from the  failed Obamacare. ,  for relief from the  failed Obamacare. ,,Elohim_Gadol,7201
89,,2017-05-04 20:25:02,Remember their names. ,Remember their names. ,https://twitter.com/JessicaHuseman/status/860218325405765633,bforberenice,6695
90,AHCA,2017-05-04 20:25:02,".@repdonbeyer TY for the ""no"" vote on  The bill puts Medicaid 4 kids at risk! All children need health coverage  ",".@repdonbeyer TY for the ""no"" vote on  The bill puts Medicaid 4 kids at risk! All children need health coverage  ",https://twitter.com/i/web/status/860228800415645696,speaknowforkids,6710
91,,2017-05-04 20:25:09,why are republicans celebrating the repeal and replace obamacare bill going thru the house when it hasn't even gone thru the senate yet LOL,why are republicans celebrating the repeal and replace obamacare bill going thru the house when it hasn't even gone thru the senate yet LOL,,ASAPthottie,7213
92,AHCA,2017-05-04 18:21:26," discriminates against mothers, children, seniors, individuals with disabilities, and the sick. This is shameful -- lives are at stake."," discriminates against mothers, children, seniors, individuals with disabilities, and the sick. This is shameful -- lives are at stake.",,therealezway,6700
93,AHCA,2017-05-04 20:25:19,New Health Hashtag 👉  ,New Health Hashtag 👉  ,http://hcsm.io/2pEbb5q,healthhashtags,6976
94,"AHCA, ACA",2017-05-04 20:25:20,My take as a socialist as to how we deal with the health insurance war. If you like the vid retweet it.     ,My take as a socialist as to how we deal with the health insurance war. If you like the vid retweet it.     ,https://twitter.com/i/web/status/860228874944303105,TabrisThe17th,6747
95,,2017-05-04 20:25:30,"You lied, Barry, and now your legacy is going to die. Of course, if that's your idea of a legacy you've got bigger problems than that. ","You lied, Barry, and now your legacy is going to die. Of course, if that's your idea of a legacy you've got bigger problems than that. ",https://twitter.com/i/web/status/860228916199399424,NFloridaWriter,6697
96,VoteNoAHCA,2017-05-04 20:25:32,Pro-life extends beyond 9 months gestation  😡😢 ,Pro-life extends beyond 9 months gestation  😡😢 ,https://twitter.com/johnfugelsang/status/860212655818244097,innermamlogue,6926
97,,2017-05-04 19:06:30,THANK THESE GOP House members who put their constituents FIRST. 👏🏻👏🏻 ,THANK THESE GOP House members who put their constituents FIRST. 👏🏻👏🏻 ,https://twitter.com/wsjpolitics/status/860199801446649856,j_smithcameron,6881
98,AHCA,2017-05-04 20:25:37,"Destroyed over the sad news about . I want to go home and use a ""sick day"" but that might later be considered a pre-existing condition.","Destroyed over the sad news about . I want to go home and use a ""sick day"" but that might later be considered a pre-existing condition.",,DavinDuhamel,6977
99,,2017-05-04 20:25:38,This from the same drooling moron who declared there would be nothing.... ,This from the same drooling moron who declared there would be nothing.... ,https://twitter.com/jonathanchait/status/860227365741395969,Van_der_Leun,7062
100,,2017-05-04 20:25:41,And Democrats are stunned as to how they lost in 2016. ,And Democrats are stunned as to how they lost in 2016. ,https://twitter.com/danmericaCNN/status/860197021982085124,AmazinDavey,7029
101,,2017-05-04 20:25:41,"""Give him a chance,"" they said. ","""Give him a chance,"" they said. ",https://twitter.com/whittyhutton/status/860220544989442049,RonlynDomingue,7083
102,"Trump, Obama, TheGOP, Obamacare",2017-05-04 20:25:41, just took a giant step toward undoing 's greatest legacy     @Independent , just took a giant step toward undoing 's greatest legacy     @Independent ,"http://ow.ly/wv8Z30bruhh, https://twitter.com/i/web/status/860228960160030720",iamjony94,7188
103,"Trumpcare, AHCA, Obamacare, FucktheGOP",2017-05-04 20:25:42,"Get ready to sing ""Nah nah nah"" in 2018, GOP. This is why I left the Republicans years ago.    ","Get ready to sing ""Nah nah nah"" in 2018, GOP. This is why I left the Republicans years ago.    ",,BostinPat,7072
104,AHCA,2017-05-04 20:25:42,"@chrislhayes @maddow @Lawrence Please say..those Congress vote yes on ,constituents will vote them out 2018,Dems may get House majority","@chrislhayes @maddow @Lawrence Please say..those Congress vote yes on ,constituents will vote them out 2018,Dems may get House majority",,nickibabylove,6978
105,AHCA,2017-05-04 20:25:43,"On Tuesday, November 6th, 2018, 

I will be voting for more House Republicans and Senators, since they are keeping promises.
","On Tuesday, November 6th, 2018, 

I will be voting for more House Republicans and Senators, since they are keeping promises.
",,ScottPresler,7133
106,,2017-05-04 20:25:47,@GeneralLeiaDC @RepAlexMooney I'll vote for you. House Republicans should be ashamed.,@GeneralLeiaDC @RepAlexMooney I'll vote for you. House Republicans should be ashamed.,,Gabaldona8,6693
107,Trumpcare,2017-05-04 20:25:49,These 24 GOP swing state reps voted “yes” for  (which cares not). They're up for re-election in 2018!    ,These 24 GOP swing state reps voted “yes” for  (which cares not). They're up for re-election in 2018!    ,https://twitter.com/i/web/status/860228993794158598,ChivasSandage,6982
108,,2017-05-04 20:25:49,"@SueinRockville Hurry, Convene The Death Panel: The House Republicans just passed Trumpcare.  ","@SueinRockville Hurry, Convene The Death Panel: The House Republicans just passed Trumpcare.  ",https://www.google.com/amp/s/www.washingtonpost.com/amphtml/powerpost/republicans-plan-health-care-vote-on-thursday-capping-weeks-of-fits-and-starts/2017/05/03/e7dd7c28-306d-11e7-9dec-764dc781686f_story.html,addison_dr,6685
109,midterms2018,2017-05-04 20:25:49,REMEMBER  ,REMEMBER  ,https://twitter.com/NicholsUprising/status/860228178270461953,suzysayshi2u,6902
110,AHCA,2017-05-04 20:25:54,I have some very serious concerns about 's impact on WV. The Senate needs to take a breath &amp; think it through: ,I have some very serious concerns about 's impact on WV. The Senate needs to take a breath &amp; think it through: ,http://kff.org/interactive/tax-credits-under-the-affordable-care-act-vs-replacement-proposal-interactive-map/,BlakeHumphrey_,6702
111,AHCA,2017-05-04 20:25:55,@Alex_Micati @agnesbookbinder Almost makes death sound pleasant. ,@Alex_Micati @agnesbookbinder Almost makes death sound pleasant. ,,stacy_koster,6828
112,AHCA,2017-05-04 20:25:58,@RepCharlieDent Thank you @RepCharlieDent for saying no to .,@RepCharlieDent Thank you @RepCharlieDent for saying no to .,,deb_budd_sw,6965
113,AHCA,2017-05-04 20:25:58,How can us as humans stand by and watch this orange alien destroy our country wow sad day america ,How can us as humans stand by and watch this orange alien destroy our country wow sad day america ,,oneworrell,6843
114,Obamacare,2017-05-04 20:25:59,Now the House can say they delivered on Repeal &amp; Replace . Now it will be up to the Senate and I am sure 2 committee! @POTUS w/C,Now the House can say they delivered on Repeal &amp; Replace . Now it will be up to the Senate and I am sure 2 committee! @POTUS w/C,,golfnut6968,7169
115,ahca,2017-05-04 20:26:00,United States of West America and United States of East America have nice rings to them. United States of Flyover America? Not so much ,United States of West America and United States of East America have nice rings to them. United States of Flyover America? Not so much ,,ocunregistered,7017
116,"AHCA, Obamacare, Trumpcare, ACA, TRUMP",2017-05-04 20:26:06," Haiku:

Repeal getting real
Repubs lack humanity --
Make them rue the day.

    "," Haiku:

Repeal getting real
Repubs lack humanity --
Make them rue the day.

    ",http://trumphaikus.blogspot.com/2017/05/haiku-98-being-alive-is-preexisting.html,socialchanger,6918
117,AHCA,2017-05-04 20:26:07,"The House narrowly passed the  health care bill, 217 to 213. But it still has to pass the Senate before becoming law.","The House narrowly passed the  health care bill, 217 to 213. But it still has to pass the Senate before becoming law.",,CCCAction,7021
118,VoteThemOut,2017-05-04 20:26:07,eat shit.  ,eat shit.  ,https://twitter.com/repfredupton/status/860210104720928769,mandoface,7080
119,Obamacare,2017-05-04 20:26:08, bye Obamacare. won't miss ya, bye Obamacare. won't miss ya,,MrsElite2016,7069
120,"AHCA, Trumpcare",2017-05-04 20:26:09,The @HouseGOP = millionaires with socialized heath care who celebrate taking healthcare away from non-millionaires.  ,The @HouseGOP = millionaires with socialized heath care who celebrate taking healthcare away from non-millionaires.  ,,laurakramer22,6725
