ID,#ofRts,HashTags,TweetText,Output,URL,User,Randomize
1150,289,Eurovision,When you get twelve points and then win the whole thin  ,When you get twelve points and then win the whole thin  ,,moonIightaffair,
89,6267,eurovision,when you do an entire group project on your own  ,when you do an entire group project on your own  ,,yeah_ohgahd,
214,25,Eurovision,When you can feel a sneeze coming but it won't come out  ,When you can feel a sneeze coming but it won't come out  ,,PingoId91,
301,331,Eurovision,When u are about to sneeze  ,When u are about to sneeze  ,,AzuPazuPuzzeh,
245,191,"SWE, Eurovision",when the memes are spicy   ,when the memes are spicy   ,,RaeRawrRae1,
1160,107,Eurovision,When Spain gets 5 points  ,When Spain gets 5 points  ,,nievessvictoria,
365,488,Eurovision,"When someone asks you what  is, just show them this picture and stare at them in silence ","When someone asks you what  is, just show them this picture and stare at them in silence ",,bah_bug,
1132,1197,Eurovision,When someone asks how I am doing  ,When someone asks how I am doing  ,,MeeraAlSuwaidii,
714,1,Eurovision,When Germany's  songs beginning sounds like Titanium,When Germany's  songs beginning sounds like Titanium,,lGqdiFOgrcJtsJL,
952,0,eurovision,What the who are these people lol ,What the who are these people lol ,,sjlangs,
201,3356,"Eurovision, Eurovision2017",what the contestants think we want to see vs. what we really want to see   ,what the contestants think we want to see vs. what we really want to see   ,,cinamink_toast,
173,2261,,What Ron said. ,What Ron said. ,https://twitter.com/TechnicallyRon/status/863486550885228544,ToriWillis01,
73,65,Eurovision,What have you made me create  A new meme has been born. ,What have you made me create  A new meme has been born. ,,ScarOnTheSky,
265,0,"Eurovision, blanche, Belgium","What a suprise , actualy good song from @Eurovision - from @blanchemusicbe     ","What a suprise , actualy good song from @Eurovision - from @blanchemusicbe     ",https://youtu.be/SznlioGhq2k,XenomorphiusM,
569,1,"Florianwieder, Eurovision, Superstar",What a star u are !😍 @florianwieder   ,What a star u are !😍 @florianwieder   ,,dzulkarnainasso,
147,8911,eurovision,What  really is about ,What  really is about ,,lifeontakeoff,
1180,0,,WHAAAAATTTT 💜💜💜 ,WHAAAAATTTT 💜💜💜 ,https://twitter.com/RuPaulsDragRace/status/863523586757332993,gaitadaria,
145,385,EUROVISION,Well you can't say this about Croatia  ,Well you can't say this about Croatia  ,,hSELTPsxx4sMIK0,
122,347,Eurovision,"Welcome to ​ 2047, which sees the Moon and Martian colonies joining in. We still miss USA, the last holdout among human nations.","Welcome to ​ 2047, which sees the Moon and Martian colonies joining in. We still miss USA, the last holdout among human nations.",,librarianknight,
204,1,Eurovision,Wee Bum  😂😂😂😬 ,Wee Bum  😂😂😂😬 ,https://twitter.com/AndyLeeman91/status/863510439304540160,heed71,
366,279,"Eurovision, OfficialPolicy",We'll give 12 points to whoever promises us the best trade deal.  ,We'll give 12 points to whoever promises us the best trade deal.  ,,jpjmarti,
27,0,,We have so many questions ,We have so many questions ,https://twitter.com/claramariam/status/863495832494067713,DoctorWhooch,
428,8,"eurovision, diapergirls",Watching ? Make sure you're diapered! Come to  &amp; see  having fun in… ,Watching ? Make sure you're diapered! Come to  &amp; see  having fun in… ,http://DiaperGal.com,unknown9417,
440,4,Eurovision,Watching  with the very cute Iolo the dog + @WelshLabour crew - come on @luciejones1 ! ,Watching  with the very cute Iolo the dog + @WelshLabour crew - come on @luciejones1 ! ,,joshuamligan,
419,3635,Eurovision,Want to feel old? This is what Bucks Fizz look like now 👀  ,Want to feel old? This is what Bucks Fizz look like now 👀  ,,XrQfOLz7N4kdv31,
1007,176,eurovision,VOTE FOR US 😂🇬🇧🇬🇧🇬🇧  ,VOTE FOR US 😂🇬🇧🇬🇧🇬🇧  ,https://twitter.com/rossmc11/status/863164387506495488,LaReyneDEpee,
1187,465,"salvadorsobral, eurovision, voteforportugal",Vote for    🎶👈🏾❤️👈🏾 ,Vote for    🎶👈🏾❤️👈🏾 ,http://fb.me/8DYK3rRyI,ricardocatarino,
1237,555,"salvadorable, Salvadorsobral, Eurovision, Portugual",Vote for     🇵🇹👈🏾🎶👈🏾 ,Vote for     🇵🇹👈🏾🎶👈🏾 ,,ricardocatarino,
801,0,"VPinMT, eurovision, PiratesLife, Eurovision, STARBOY, LEGENDOFTHEFALL",Vive today           ,Vive today           ,"http://www.wildliongallery.com, https://twitter.com/i/web/status/863608633090875392",WildLionGallery,
409,0,Eurovision,Upon waking I still think Romania or Moldova should have won ,Upon waking I still think Romania or Moldova should have won ,,jadeycakes1992,
723,9,Eurovision,Updated winners map  ,Updated winners map  ,,noicingcupcake,
931,101,,"under the new system, alexander rybaks ""fairytale"" had a total of 690 points. today salvador scored 758. we have a new record! ","under the new system, alexander rybaks ""fairytale"" had a total of 690 points. today salvador scored 758. we have a new record! ",,kimoimichi,
1020,81,Eurovision,Ukrainian man notorious for pranking celebrities moons  while wearing Australian flag… ,Ukrainian man notorious for pranking celebrities moons  while wearing Australian flag… ,,suthernx,
906,10,,"Ukraine takes 1 year off, wins the next year. Portugal takes 1 year off, wins the next year.  Russia or Bosnia to win next year? ","Ukraine takes 1 year off, wins the next year. Portugal takes 1 year off, wins the next year.  Russia or Bosnia to win next year? ",,Mitch_John573,
103,1211,Eurovision,"uk: australia isn't even in europe how can they be in Eurovision
australia: *gives uk 12 points* 
uk: 

 ","uk: australia isn't even in europe how can they be in Eurovision
australia: *gives uk 12 points* 
uk: 

 ",,Sarcastic__Sam,
87,100,Eurovision,Trying to work out the  voting system ,Trying to work out the  voting system ,,Christo45046444,
435,0,"Eurovision, Nazi",Totally false info why painting of rainbow for  wasn't finished.  radicals with party of Svoboda were against LGBT symbols. ,Totally false info why painting of rainbow for  wasn't finished.  radicals with party of Svoboda were against LGBT symbols. ,https://twitter.com/i/web/status/863607841625706496,besthealthyou,
879,0,"WTactualF, Eurovision","Tories and alcohol don't mix...show some leg, but keep your socks on. Romania 10, Romani 0.

   ","Tories and alcohol don't mix...show some leg, but keep your socks on. Romania 10, Romani 0.

   ",https://twitter.com/i/web/status/863608768084443136,StatgeekUK,
1186,3,Spain,"Top Spanish team, Real Madrid will remove Christian cross on their logo in Arab states'  … … 
 
","Top Spanish team, Real Madrid will remove Christian cross on their logo in Arab states'  … … 
 
",http://en.europe-israel.org/2017/01/25/real-madrid-logo-wont-feature-christian-cross-in-middle-east-clothing-deal/,zlando,
376,12,Eurovision,Tokio Hotel is good!! ,Tokio Hotel is good!! ,,sofilovesnick,
357,69,Eurovision,"To get a flavoour of  , here is the greatest song ever entered. Enjoy...  ","To get a flavoour of  , here is the greatest song ever entered. Enjoy...  ",https://youtu.be/1SsqKUIXXMA,lornehanks,
1208,0,"boost, technology, investment, cooperation, Pak, Oman, Investment, Company, Eurovision","To   and  , -   signs MoU


","To   and  , -   signs MoU


",https://www.thenews.com.pk/print/203875-Pak-Oman-Investment-Company-signs-MoU,OmansFriends,
374,0,"Eurovison2017, Eurovision, WINNER",This woman just kept singing!! Nobody will remember the songs just this of       ,This woman just kept singing!! Nobody will remember the songs just this of       ,https://twitter.com/i/web/status/863607611882692608,FoleyBreda,
199,5196,Eurovision,This was a beautiful moment  ,This was a beautiful moment  ,,thelastconfesor,
449,0,,This story is not accurate. ,This story is not accurate. ,https://twitter.com/MirrorTV/status/863519657583575040,buberzionist,
217,163,Eurovision,"This still remains THE BEST Eurovision song of all time!

 ","This still remains THE BEST Eurovision song of all time!

 ",,kerryleeanne,
252,110,Eurovision,This should be talked about  ,This should be talked about  ,,noicingcupcake,
59,115,,this mf look like bananies and avocadies ,this mf look like bananies and avocadies ,https://twitter.com/nananoizy/status/863499509900378115,cuteneviI,
701,36,"Croatia, Eurovision",This man is what I sound like in my head when I try to sing all parts of a Destiny's Child song.  ,This man is what I sound like in my head when I try to sing all parts of a Destiny's Child song.  ,,Chugo_01,
610,3388,Eurovision,This just happened on  😂😂😂 ,This just happened on  😂😂😂 ,,pUwqSsFW3RbLaa1,
469,3982,eurovision,"This is why you should never, ever invite Australians to your party.  ","This is why you should never, ever invite Australians to your party.  ",,1azylizzie,
884,26,,This is why Australians should be banned ,This is why Australians should be banned ,https://twitter.com/k_pics_editing/status/863510064577077248,CashBama,
1018,1159,Eurovision,This is what happens. We vote to leave and everyone starts singing in their own language. Very insecure. ,This is what happens. We vote to leave and everyone starts singing in their own language. Very insecure. ,,danmeister90,
222,897,eurovision,This is the whitest celebration of diversity I've ever seen. So many different types of white. ,This is the whitest celebration of diversity I've ever seen. So many different types of white. ,,crowmaidarling,
800,223,EUROVISION,This is the best  tweet ever ,This is the best  tweet ever ,https://twitter.com/nwpolice/status/863498722646392838,TommyMortillaro,
277,0,,This is so cute ,This is so cute ,https://twitter.com/jk_rowling/status/863523311178928129,prmanentfix,
522,11,Eurovision,This is Portugal's grand strategy: win Euro cup -&gt; elect UN SecGen -&gt; win  -&gt; become nuclear power -&gt; ac… ,This is Portugal's grand strategy: win Euro cup -&gt; elect UN SecGen -&gt; win  -&gt; become nuclear power -&gt; ac… ,,johank76,
613,19,eurovision,This is how I feel right now  ,This is how I feel right now  ,,treepanda2,
54,826,Eurovision,"This is him now, feel old yet?
 ","This is him now, feel old yet?
 ",,Luminerica,
463,2,,Think of the Gong Show in 30 countries with no gong ,Think of the Gong Show in 30 countries with no gong ,https://twitter.com/kl_coop/status/863516805813415936,NeilMortimore1,
1171,66,Eurovision,They've just given up on the subtitles tonight...  ,They've just given up on the subtitles tonight...  ,,nievessvictoria,
372,57,Eurovision,"Them: Whatcha thinking about?
Me: Nothing
In my head:
 ","Them: Whatcha thinking about?
Me: Nothing
In my head:
 ",,nievessvictoria,
274,322,Eurovision,"them: ""Portugal's song was so boring""
Salvador holding the prize: ""POrtUgAl'S sONg wAs SO bOrINg""
 ","them: ""Portugal's song was so boring""
Salvador holding the prize: ""POrtUgAl'S sONg wAs SO bOrINg""
 ",,GummyHuskena,
193,948,DEN,"THEM TITTIES 👁️👁️,  ","THEM TITTIES 👁️👁️,  ",,mattismylife97,
666,648,Eurovision,The ultimate indicator that it is  season. ,The ultimate indicator that it is  season. ,,sakasakiP,
704,1121,Eurovision,the uk @ ireland  ,the uk @ ireland  ,,megannnn_13,
1200,20,Eurovision,The two creepy hosts get a warning in their earpieces  ,The two creepy hosts get a warning in their earpieces  ,,GuyCLJohnston,
844,1297,"Eurovision, SWE",The Swedish know how to do  like no one ,The Swedish know how to do  like no one ,,purnomoadi490,
94,0,"eurovision, lazarusheart",The sixth ticket for the sixth  show with yet another . It's been an… ,The sixth ticket for the sixth  show with yet another . It's been an… ,https://www.instagram.com/p/BUDwzbsFl3A/,fliponline,
796,581,Eurovision,"The rest of the world: 'What even is ?'

Europe: ","The rest of the world: 'What even is ?'

Europe: ",,ddinini,
1069,0,,The person that figures out the answer will be a virtual Genius ,The person that figures out the answer will be a virtual Genius ,https://twitter.com/JOE_co_uk/status/863520377498161152,pisani_raymond,
239,1244,Eurovision,The past 12 months summed up in a screen-grab  ,The past 12 months summed up in a screen-grab  ,,AleSojka,
1121,0,eurovision,The Netherlands' had such a good ballad damn. It sounds like something from a Disney soundtrack ,The Netherlands' had such a good ballad damn. It sounds like something from a Disney soundtrack ,,jojothehobbit,
381,366,"Eurovision, Portugal",The most pure win in   that ever happened!  ,The most pure win in   that ever happened!  ,,nievessvictoria,
977,13,Eurovision,The mooner was NOT Australian. Important that's known. We love and respect this contest  pls RT ,The mooner was NOT Australian. Important that's known. We love and respect this contest  pls RT ,,mishmash59,
306,1162,"Eurovision, ESC2017",The moment Portugal and Salvador Sobral are declared winners of   ,The moment Portugal and Salvador Sobral are declared winners of   ,,SerendipitySays,
890,0,"doctorwho, eurovision",The latest TheTVKing!  Thanks to @FilmBookTomasi @MarkDeklin @tellymix  ,The latest TheTVKing!  Thanks to @FilmBookTomasi @MarkDeklin @tellymix  ,http://paper.li/thetvking/1334506518?edition_id=0739e1b0-385c-11e7-9b48-0cc47a0d1609,thetvking,
344,0,"eurovision, nm935",The latest El Joven Diario!  Thanks to @macasante  ,The latest El Joven Diario!  Thanks to @macasante  ,http://paper.li/CCPJAlajuela?edition_id=441ead50-385b-11e7-ac2b-0cc47a0d164b,CCPJAlajuela,
32,0,"eurovision, maga",The latest  - Take The Red Pill Now!   ,The latest  - Take The Red Pill Now!   ,"http://Red-Pill.Org, http://paper.li/T3HREDPiLL?edition_id=e516ac90-385a-11e7-b291-0cc47a0d1605",T3HREDPiLL,
954,2740,Eurovision,the hero we need but don't deserve  ,the hero we need but don't deserve  ,,VerdejoConV,
869,24,Eurovision,The guy who mooned everyone at  was the same ~*crazy prankster*~ who assaulted these celebs. 😒 ,The guy who mooned everyone at  was the same ~*crazy prankster*~ who assaulted these celebs. 😒 ,,inexorablist,
637,433,"Eurovision, Salvadorsobral, salvadorable, Portugal",The Grand Favourite @ the 2017  Song contest is    🇵🇹😍 ,The Grand Favourite @ the 2017  Song contest is    🇵🇹😍 ,,dzulkarnainasso,
692,1350,Eurovision,The four horsemen of the apocalypse.  ,The four horsemen of the apocalypse.  ,,spinzaku35,
408,1,eurovision,The foreign countries are only voting for us on  because half there relatives are over here,The foreign countries are only voting for us on  because half there relatives are over here,,HoI1ddK9nI3QIdl,
826,14,"Eurovision, ESC2017","The final results 
  ","The final results 
  ",,tanyaclexakru,
677,5,"Hovig, Gravity, RagNBoneMan, Human, Eurovision",The Cyprus contestant 's song  sounds awfully like 's !   ,The Cyprus contestant 's song  sounds awfully like 's !   ,,dzulkarnainasso,
185,28,"12points, CelebrateDiversity, eurovision, ESC2017","The best performance for Eurovision 2017

 

 
 ","The best performance for Eurovision 2017

 

 
 ",,Grizzle21652463,
483,242,"POR, Eurovision","The best duo of the century omg Salvador and his sister just out of this world,amazing ❤️   ","The best duo of the century omg Salvador and his sister just out of this world,amazing ❤️   ",,YesterKris,
250,25,Christian,"The  Genocide in Middle East is happening right now! (Graphic)
MSM doesn't want U 2 know!
 
","The  Genocide in Middle East is happening right now! (Graphic)
MSM doesn't want U 2 know!
 
",https://goo.gl/scv3me,zlando,
899,488,EUROVISION,That was the funniest part of  this year hilarious 🎶🎶😎😎😂😂😂,That was the funniest part of  this year hilarious 🎶🎶😎😎😂😂😂,,Summer_GamingIE,
839,40,"Eurovision, BEL",That vocal tone though 💝  ,That vocal tone though 💝  ,,purnomoadi490,
206,11,eurovision,That time I performed&amp; hosted Eurovision's Opening Ceremony   ,That time I performed&amp; hosted Eurovision's Opening Ceremony   ,https://www.youtube.com/watch?v=7LnlTisbCO8&feature=share,PMCastle,
1110,174,Eurovision,"That song will be used at that guy's child custody hearing
","That song will be used at that guy's child custody hearing
",,8NOcBHfrApJnAw7,
753,500,eurovision,That may be a world record for “most viewers simultaneously seeing an Australian’s arse live on television” ,That may be a world record for “most viewers simultaneously seeing an Australian’s arse live on television” ,,craighennessey,
270,355,"Eurovision, euroviisut",Thanks to @YLETV2 for translating those yodels into Finnish   ,Thanks to @YLETV2 for translating those yodels into Finnish   ,,thegcat,
396,1,Eurovision,Thanks 4 the  choir games promo @grahnort our @BarnsleyChoir are the 2015 triple gold champions pls wish us luck 4 this year 😃,Thanks 4 the  choir games promo @grahnort our @BarnsleyChoir are the 2015 triple gold champions pls wish us luck 4 this year 😃,,BarnsleyChoir,
316,3,Eurovision,Thank you and goodnight  ,Thank you and goodnight  ,,SDMw77jmXvn9CjZ,
210,10,Eurovision,Thank you @LucieJones1 you've been an incredible embassador for the UK and . This was your week at… ,Thank you @LucieJones1 you've been an incredible embassador for the UK and . This was your week at… ,,noicingcupcake,
555,22,,Thank god that ugly bottom was not Australian! ,Thank god that ugly bottom was not Australian! ,https://twitter.com/brettmasonnews/status/863535492876337152,pixieodeath,
1118,832,Eurovision,Tele-POR-ting into  ,Tele-POR-ting into  ,,unni_hyeok,
183,11,Eurovision,"Still, our two hosts are doing a sterling job  ","Still, our two hosts are doing a sterling job  ",,GuyCLJohnston,
1287,213,Eurovision,Still a better love story than Twilight!  ,Still a better love story than Twilight!  ,,nievessvictoria,
65,102,Eurovision,"Stage invasion! 

Actually thought it was part of the act. 
 ","Stage invasion! 

Actually thought it was part of the act. 
 ",,EIexor,
602,328,Eurovision,Spot the difference  ,Spot the difference  ,,cmras_BlockB,
123,4695,,"Speaking as someone who can still hum ""Amor d'água fresca"", Portugal's 1992 entry (when I was living there): PARABÉNS! ","Speaking as someone who can still hum ""Amor d'água fresca"", Portugal's 1992 entry (when I was living there): PARABÉNS! ",,pensarsemfim,
762,184,Eurovision,Spanish ppl right now  ,Spanish ppl right now  ,,nievessvictoria,
1227,454,Eurovision,Spain trying to get some points.  ,Spain trying to get some points.  ,,nievessvictoria,
329,4620,Eurovision,SPAIN PLEASE STOP WE'LL GIVE YOU GIBRALTAR JUST PLEASE STOP ,SPAIN PLEASE STOP WE'LL GIVE YOU GIBRALTAR JUST PLEASE STOP ,,RAMON00006,
741,1115,Eurovision,Spain be like  ,Spain be like  ,,MiLiPe_96,
1273,44,Eurovision,Spain are now the country who have waited the longest for a win.. (48 years) ,Spain are now the country who have waited the longest for a win.. (48 years) ,,amiryogi,
34,4303,Eurovision,"Sorry but this GIF needs to be on your timeline
 ","Sorry but this GIF needs to be on your timeline
 ",,that_rachael,
719,35,Eurovision,Someone please remind me about  next year so I can watch some of the competition.,Someone please remind me about  next year so I can watch some of the competition.,,sjlangs,
284,170,Eurovision,Someone got their arse out at  and it's better than any act that performed. ,Someone got their arse out at  and it's better than any act that performed. ,,CYXwlJh2Fc1tAq7,
346,698,Eurovision,"Some thick irony in a Brit singing ""I will never give up on you"" to a room of Europeans. ","Some thick irony in a Brit singing ""I will never give up on you"" to a room of Europeans. ",,alba005edith,
922,474,Eurovision,Some of the world's deadliest snakes  ,Some of the world's deadliest snakes  ,,MrAryyn,
139,8,Eurovision,"So,  is over. Congratulations to the winner and many thanks to Ukrainian soldiers who make it possible too! 🔰
Nighty night :)","So,  is over. Congratulations to the winner and many thanks to Ukrainian soldiers who make it possible too! 🔰
Nighty night :)",,FSwissmartini,
1189,17,"CRO, Eurovision, DragRace",So this looks familiar    ,So this looks familiar    ,,Chugo_01,
219,2137,Eurovision,So this just happened on  😂😂😂😂😂😂😂😂 ,So this just happened on  😂😂😂😂😂😂😂😂 ,,_skankhunt,
870,0,"Eurovision, salvadorable, teamsalvadorable",So proud of Salvador and Luisa !   ,So proud of Salvador and Luisa !   ,,MiaTerraLatina,
203,1683,Eurovision,smooth  ,smooth  ,,khontext,
552,505,Eurovision,SHOW US WHAT YOU GOT  ,SHOW US WHAT YOU GOT  ,,lebibin,
190,4,Eurovision,Should've won  ,Should've won  ,,BellaGoth11093,
275,0,"HH, KAW, eurovision","She JSUT GIT A HOTELLLLLLLLL



 ","She JSUT GIT A HOTELLLLLLLLL



 ",,WolkeKristin,
584,0,eurovision,Seriously love watching  every year. Some seriously good talent this year 👍👍,Seriously love watching  every year. Some seriously good talent this year 👍👍,,sjlangs,
856,0,,Saw this and you came into my mind @samuelbuttery 😂😂 ,Saw this and you came into my mind @samuelbuttery 😂😂 ,https://twitter.com/logotv/status/863501820244701184,DJNathyB,
407,628,"Eurovision, ESC2017",Salvador takes the trophy for Portugal!   ,Salvador takes the trophy for Portugal!   ,,SerendipitySays,
84,1371,"ESC2017, Eurovision, CelebrateDiversity",Salvador Sobral takes the trophy for Portugal🇵🇹  at the    ,Salvador Sobral takes the trophy for Portugal🇵🇹  at the    ,,annikawunder,
261,2576,"ESC2017, POR, Eurovision, CelebrateDiversity",Salvador Sobral is awarded the  trophy for 🇵🇹!   ,Salvador Sobral is awarded the  trophy for 🇵🇹!   ,,SerendipitySays,
8,1,,Sad development as they brought a unique levantine flavor -- without turkey and israel europe is a boring place. ,Sad development as they brought a unique levantine flavor -- without turkey and israel europe is a boring place. ,,evrimerdogus,
251,34,Eurovision,RT meganrossix: Never forget  ,RT meganrossix: Never forget  ,,BellaGoth11093,
473,20,"SWE, Eurovision, ESC2017",RT if you voted for Sweden! 🇸🇪👌👌👌    @robinbengtssons ,RT if you voted for Sweden! 🇸🇪👌👌👌    @robinbengtssons ,,VirpiLaine,
448,1,eurovision,Ronaldo will claim this when Portugal win. ,Ronaldo will claim this when Portugal win. ,,QVUxwlqwDCN8FGm,
1199,63,Eurovision,Ronaldo quite obviously carries Portugal on and off the pitch. Another major trophy won. ,Ronaldo quite obviously carries Portugal on and off the pitch. Another major trophy won. ,,ericdsouza17,
320,1391,Eurovision,"Romania, this is lit  ","Romania, this is lit  ",,JulieStarsed,
337,338,Eurovision,retweet if you think I should go to  2018 and do a shashlik rap,retweet if you think I should go to  2018 and do a shashlik rap,,LuXun001,
462,129,"Eurovision, UFC211, WhitePeople, CNNsotu, JudgeJeanine","Remember when CNN colluded with HRC and the DNC? I do.

     ","Remember when CNN colluded with HRC and the DNC? I do.

     ",,SLadreda,
789,14,eurovision,"Remember the time we held Eurovision in a shed in North Cork....
(True story, millennials)
","Remember the time we held Eurovision in a shed in North Cork....
(True story, millennials)
",,michaeljmatson,
191,58,"AUT, Eurovision",Remember the DreamWorks kid? This is him now! Feel old yet?   ,Remember the DreamWorks kid? This is him now! Feel old yet?   ,,ScarOnTheSky,
353,190,Eurovision,Really hope they show this clip in schools across the world to explain Europe  ,Really hope they show this clip in schools across the world to explain Europe  ,,mol3bkGPxNXQnnS,
533,0,Eurovision,"RAGAAAAAAA   CLICK HERE!-&gt; """" ","RAGAAAAAAA   CLICK HERE!-&gt; """" ",http://destyy.com/qA52Ds,Austral27932861,
628,124,Eurovision,"RAGAAAAAAA
 ","RAGAAAAAAA
 ",,sheslytherin,
470,1698,,"PRETTY RICH OF ALL YOU BRITS TWEETING THAT AUSTRALIA DOESN'T BELONG IN A EUROPEAN THING, AT LEAST WE WANT TO BE HERE ","PRETTY RICH OF ALL YOU BRITS TWEETING THAT AUSTRALIA DOESN'T BELONG IN A EUROPEAN THING, AT LEAST WE WANT TO BE HERE ",,Gaelunafn,
446,100,"Eurovision, Portugal",Portuguese all over the world !!! AHHAHAAH   ,Portuguese all over the world !!! AHHAHAAH   ,,meinconspicuous,
1012,704,"Eurovision2017, Eurovision, POR, Portugal","Portugal's lyrics! ☺️🇵🇹
(SPREAD THIS LIKE WILDFIRE)
Lots of love!
   … ","Portugal's lyrics! ☺️🇵🇹
(SPREAD THIS LIKE WILDFIRE)
Lots of love!
   … ",,danielasofiaom,
1309,1,"POR, Eurovision",Portugal more like  me another one amirite ,Portugal more like  me another one amirite ,,effortkills,
631,276,Eurovision,"Portugal might have the most points, but you can't tell me that Spurs didn't deserve to win.  ","Portugal might have the most points, but you can't tell me that Spurs didn't deserve to win.  ",,_skankhunt,
1091,51,Eurovision,"Portugal has proved that EVERY SINGLE COUNTRY can win  with the right song. 
You don't need tons of friends or neighbours.","Portugal has proved that EVERY SINGLE COUNTRY can win  with the right song. 
You don't need tons of friends or neighbours.",,Nexahs,
445,26,Eurovision,"Portugal 🇵🇹 wins Euro

Portugal 🇵🇹 wins  

Portugal 🇵🇹 arrests the McCanns

All going according to plan… ","Portugal 🇵🇹 wins Euro

Portugal 🇵🇹 wins  

Portugal 🇵🇹 arrests the McCanns

All going according to plan… ",,JillyCL,
756,0,Eurovision,Polands song in  was garbage. It was like the same 6 words over and over again.,Polands song in  was garbage. It was like the same 6 words over and over again.,,comicidiot,
