3509,,You may be misled today by someone you trust . Although no one ... More for Leo,leo,,['gop'],"house,gop",88weighted,Leo
969,,You may be locked in an endless debate that has no clear winne ... More for Virgo,virgo,djt,[],,LizRabban,Virgo
160,trumprussia,You may be full of revolutionary ideas today but still have a ... More for Taurus,taurus,carter,['fbi'],carter,lsfarmer311,Taurus
1139,,"You may be feeling restless , eager to act out on the aggressiv ... More for Scorpio",scorpio,,['gop'],"house,gop",88weighted,
1244,,You may be entangled in a complicated relationship situation t ... More for Virgo,virgo,,['gop'],"house,gop",88weighted,Virgo
2135,,You may be dreaming about sneaking off to a monastery for a sp ... More for Cancer,,,['gop'],"house,gop",88weighted,
214,,You may be drawn into an intense situation at work today that ... More for Taurus,taurus,carter page,"['fisa court', 'carter page', 'a diplomat']",carter page,foreignpolicy77,Taurus
2523,,"You may be currently working harder than you prefer , leaving y ... More for Scorpio",scorpio,,['gop'],"house,gop",88weighted,
1409,,You may be conflicted about whether to join forces with others ... More for Virgo,virgo,,['gop'],"house,gop",88weighted,Virgo
1500,,"You may be a harsh judge of yourself or others , and could inad ... More for Scorpio",scorpio,,['gop'],"house,gop",88weighted,
2531,,"you hong ming ! It 's March 20 , 2015 at 11:15 AM #LoveMarriottRewards #MRpoints",,,['gop'],"house,gop",88weighted,
56,,You brighten up my day when the sun don't shine,,carter page,['carter page'],carter page.,BrianWithAnE,
3098,,you are not bringing tthe $ 10.000 a week for life on the 30th,,,['gop'],"house,gop",88weighted,
3047,,YO TOMORROW IS MY BIRTHDAY ITS GONNA BE LIT,,,['gop'],"house,gop",88weighted,
1749,,Yet Another Possible Credit Card Breach : This Time At Wendy 's,wendy 's,,['gop'],"house,gop",88weighted,Wendy
2895,,yesterday felt like saturday and today feels like saturday,,,['gop'],"house,gop",88weighted,
1777,,Yesssss !!! MAY FOREVER ALDEN AT MENG ! Sa Tamang Panahon ! Today n kya lola ? Whooohooo !!! #ALDUBTheBigSurprise,,,['gop'],"house,gop",88weighted,"ALDEN,Tamang Panahon"
3613,,Yea naman ! go for 1m again JaDines #OTWOLAmericanDream https://t.co/OY2U65y1Jn,jadines,,['gop'],"house,gop",88weighted,
892,AHCA,Yassss queen of kpop https://t.co/gOoAuQwvRP,,,[],,shinevan1120,
1694,,Yakap-yakan din pag may time . #DRYakap @manilyn_reynes,,,['gop'],"house,gop",88weighted,
3531,,Yahoo News Tech : Wendy 's looks into claims of a credit card data breach,"yahoo news tech,wendy 's",,['gop'],"house,gop",88weighted,Yahoo News Tech : Wendy
828,"Obamacare, TrumpCare","x1x_ne_x1x September 27 , 2015 at 02:04 AM 3",,,[],,End_Prejudice,
1502,,"x1x_Ne_x1x September 23 , 2015 at 09:45 AM 66",,,['gop'],"house,gop",88weighted,
3147,,"x1x_ne_x1x September 05 , 2015 at 07:27 AM 3",,,['gop'],"house,gop",88weighted,
714,AHCA,"x1x_Ne_x1x October 10 , 2015 at 09:36 PM 66",,"gop,ahca",['gop'],"gop,ahca",vela_mary,
3006,,"x1x_ne_x1x June 30 , 2015 at 12:57 AM 4",,,['gop'],"house,gop",88weighted,
2357,,"x1x_ne_x1x June 23 , 2015 at 06:52 PM 2",,,['gop'],"house,gop",88weighted,
1359,,"x1x_ne_x1x https://t.co/MJSVzEd9la November 12 , 2015 at 05:45 PM 2",,,['gop'],"house,gop",88weighted,
1940,,"x1x_ne_x1x August 11 , 2015 at 02:02 AM 4",,,['gop'],"house,gop",88weighted,
3493,,"Wth "" @ABC : #SanBernardino shooting site is facility for care of people with developmental disabilities : """,#sanbernardino,,['gop'],"house,gop",88weighted,
2765,,Wtf wow “@piersmorgan : BREAKING NEWS : Mass shooting at Mother 's Day parade in New Orleans - at least a dozen people shot . ”,"mother 's day,new orleans",,['gop'],"house,gop",88weighted,"Mother ' s Day,New Orleans"
508,,Wtf its friday ?,,,['spy'],hide. said,AllThingsHLS,
1523,,"Wright Service &amp; Towing in Humeston , IA was just found at #Repairs #Trucking on 04th Mar 1am","humeston,ia",,['gop'],"house,gop",88weighted,"Humeston,IA"
3273,,Wrapping up the lobster love at both Franklin on 13th and K NW and Georgetown on 31st and K NW at 1:20 . Hurry over !,"franklin on 13th and k nw,georgetown on 31st and k nw",,['gop'],"house,gop",88weighted,"Franklin,Georgetown"
1486,,WP Engine Resets Passwords After Data Breach … #HB,wp engine,,['gop'],"house,gop",88weighted,
3644,,WP Engine Identifies Cloud Infrastructure Provider as Entry Point for Recent Security Breach #wordpress,wp engine,,['gop'],"house,gop",88weighted,Cloud
3087,,"Wow a school shooting in Marysville , Washington ... That 's too close . I don't feel safe at school anymore ... That 's sad","marysville,washington",,['gop'],"house,gop",88weighted,"Marysville,Washington"
3365,,"Wow , Snapchat is really being cavalier about their data breach .",snapchat,,['gop'],"house,gop",88weighted,Snapchat
773,"Obamacare, AHCA",Working harder may be your instinctive answer to the heightene ... More for Capricorn,capricorn,,[],"republican house,healthcare bill",ProjRepubic,
3050,,Working harder may be your instinctive answer to the heightene ... More for Capricorn,capricorn,,['gop'],"house,gop",88weighted,
1796,,"workin at avicii this Friday , handy dolla",,,['gop'],"house,gop",88weighted,avicii
1903,,Wordlesss Wednesday Italian Cream Cake,,,['gop'],"house,gop",88weighted,Italian Cream
2691,,Woohoo ! Let 's hear it for the freshman ! @universityofga https://t.co/DBna5u1Gjv,,,['gop'],"house,gop",88weighted,
2145,,Won a 140 character Twitter story contest .,twitter,,['gop'],"house,gop",88weighted,Twitter
1025,,"Woah j'ai mis une photo sur snap,c'est grave pas mon genre de photo xptdr jsuis insolente",,,['gop'],"house,gop",88weighted,
1945,,"WJZ BREAKING : 1 Killed , 3 Injured In Baltimore Shooting ; 2 Of Those Injured ... - CBS Local","wjz,baltimore,cbs local",,['gop'],"house,gop",88weighted,"Baltimore,CBS"
2770,,"With #TheMinions hitting theaters this weekend , we look at popular #movie spinoff characters ! #Movies #TheRock #cats","#theminions,#therock",,['gop'],"house,gop",88weighted,
164,TrumpRussia,Wishing everyone a most Wonderful Wednesday ! Happy Mid-Week :D ~ BirCraft gear motors - linear actuators - ...,bircraft,"election day,hillary clinton,carter page","['hillary clinton', 'fbi', 'carter page']","fbi,hillary clinton. carter page",PunchTrumpUS,
774,,wish every night was Friday night,,,[],,Treecy_WildTale,
455,TrumpRussiaCoverUp,Win #TacoTuesday with These Garlic Shrimp and Avocado Tacos https://t.co/ZhN43rcqDo https://t.co/V4xMnjh7yP,,"fbi,trump,carter page","['adviser', 'carter page\ndrip', 'fbi', 'carter page']","fbi,fisa,trump",titabatz,Avocado
2211,,"Wilson 8th graders had the opportunity to hear about the magnet offerings at @MiddletonSTEM , @HCPSRobinsonHS and ... https://t.co/GLk8vknsFK",wilson,,['gop'],"house,gop",88weighted,Wilson
603,,Williams is running up and down the field . You take him out for 3 plays on the 1 . You give it to him on 3rd and goal from the 6 . ?????,williams,ca,[],,erichwithach,Williams
599,AHCA,Will Friday 's Movie in the Park be ever in your favor ? [ BLOG ] #Aggieland,movie in the park,,[],,Chileno01280,Park
3635,,Will be fast and furious tomorrow onwards .. sigh ..,,,['gop'],"house,gop",88weighted,
1451,,WILL #INA EXTEND #NAYANTHARA'S HAT-TRICK STREAK ? https://t.co/QI8EvNfnY0 https://t.co/xfY4AV2El4,#nayanthara's,,['gop'],"house,gop",88weighted,
2023,,"WikiLeaks : NSA targeted German chancellery , Merkel aides : BERLIN -- WikiLeaks on Wednesday published a new lis ...","wikileaks,nsa,merkel,berlin,wikileaks",,['gop'],"house,gop",88weighted,"NSA,Merkel,BERLIN,WikiLeaks"
3573,,​Why you shouldn't be scared by the ' largest data breach ' ever via @CNET,,,['gop'],"house,gop",88weighted,
3692,,​Why you shouldn't be scared by the ' largest data breach ' ever : Experts say the reported hei ... #cnet #tech #news,,,['gop'],"house,gop",88weighted,
1596,,​Why you shouldn't be scared by the ' largest data breach ' ever - CNET,cnet,,['gop'],"house,gop",88weighted,
1346,,"Why Wait Until April ? Win Free Commentaries , Biographies , and Books from T4G ! https://t.co/uJy4W6sIlO via @T4Gonline",t4g,,['gop'],"house,gop",88weighted,
3624,,Why tF am I working on 4th of July .........,,,['gop'],"house,gop",88weighted,
113,,"Why is it gonna rain all day tomorrow ? I thought it was getting hot ? California , get it together . Please",california,"flynn,asshole yellow belly","['mr. asshole yellow', 'gen. flynn', 'gen.']","flynn,asshole yellow belly",JerryLingle,California
3743,,"Why is AKA beefing with cats , 1st L-Tido then Cassper n now Ifani ? No re lapile ka tenants d'maan @moflavadj @sam_lehoko #TheMorningFix","aka,l-tido,cassper,ifani",,['gop'],"house,gop",88weighted,"1st L-Tido,Cassper"
2065,,Why is a domestic Breach of the Peace Actually as . 38 ? #lawblog #criminal #law …,,,['gop'],"house,gop",88weighted,
3210,,Why doesn't my vehicle have a spare tire ? Your car may be equipped with run-flat tires . Newer BMW and MINI tend ...,,,['gop'],"house,gop",88weighted,
509,,Why do I have an exam tomorrow morning ?,,"fbi,trump,carter page,the washington post","['the washington post', 'the washington post', 'adviser', 'fbi', 'carter page']","fbi,fisa,trump,washington post",auralind,
1879,,Why am I cold in June haha ? Haha,,,['gop'],"house,gop",88weighted,
2938,,"Whoa . RT @mpoppel : BNO News : 5-year-old New Orleans girl dies after finding . 38 revolver and shooting self in the head , police confirm",new orleans,,['gop'],"house,gop",88weighted,New Orleans
2779,,"Whoa , shooting at New Orleans ? The world sucks .",new orleans,,['gop'],"house,gop",88weighted,New Orleans
2221,,Who wants to take me church tomorrow ?,,,['gop'],"house,gop",88weighted,
2467,,Who wants to ride a sheep in July ? Must be 4-7 years young and &lt; 60 pounds . Entries due by June 12th . #carodeo,,,['gop'],"house,gop",88weighted,
1369,,"Who says he didn't, he orchestrated the FEB 14 elections postponement . https://t.co/vFZJRJnYMn",,,['gop'],"house,gop",88weighted,
1774,,who down to party tomorrow @ Michalle 's,michalle,,['gop'],"house,gop",88weighted,
2289,,Who 's pumped for the 2nd half ?,,,['gop'],"house,gop",88weighted,
2894,,Who 's down to go hiking tomorrow,,,['gop'],"house,gop",88weighted,
304,,White House Talking Points On #Chattanooga #ChattanoogaShooting pic.twitter.com/zNxJiOwKdS,"white house,#chattanooga",,['fisa court'],,jwomack,White House
3316,,White House Hiding Pentagon Report On Russia’s Breach Of Nuclear Treaty … via @dailycaller,"white house,pentagon",,['gop'],"house,gop",88weighted,"White House,Pentagon Report,Russia’s"
2441,,"When you seek a way out of the fire , you'll find that it 's now as far as it may seem .",,,['gop'],"house,gop",88weighted,
2819,,"When will the sun shine for me again ? Maybe it will never shine again It 's time to accept I'm a fail , at everything .",,,['gop'],"house,gop",88weighted,
2613,,"When the view from your office in your 2nd location is better than your main office , you won't mind going there ...",,,['gop'],"house,gop",88weighted,
1383,,WHEN THE SUN SHINES THROUGH A DRESS AND MAKES IT TRANSPAR ... https://t.co/N4QKcSpOO8,,,['gop'],"house,gop",88weighted,
1741,,"When police reported gunman in custody in New Castle County Courthouse shooting in #Wilmington , Delaware , that was because he was shot dead","new castle county courthouse,#wilmington,delaware",,['gop'],"house,gop",88weighted,"New Castle County Courthouse,#Wilmington,Delaware"
3746,,"when people say "" is it October yet ?"" idk can you read a calendar yet ?",,,['gop'],"house,gop",88weighted,
1768,,When Monday is a Sun-day &lt; 3 #backtowork #perfekterwochenstartundkaffe,,,['gop'],"house,gop",88weighted,
345,"F4F, RT, news, FBI","When Jesus says "" Come "" and you have somewhere else to go , you may be tempted to say "" No ."" #FeedYourFaith @ibocchurch @thewordnetwork",jesus,"trump,carter page,washington post","['carter page', 'washington post', 'washington post', 'adviser']","fisa,trump,carter page - washington post",WorldNews707,When Jesus
355,,"Whats better than No-Humanity Caroline ? No-humanity Caroline trying to seduce you . May the force be with you , Stefan . #TVD #CrazyCaroline","no-humanity caroline,no-humanity caroline,stefan","russia,sean spicer carter page","['russia', 'sean spicer carter page']",spicer carter page),ClubBayern,"No-Humanity Caroline,No-humanity Caroline,Stefan"
1388,,Whatever happens is what is meant to be and I will be grateful for the whatever the outcome may be,,,['gop'],"house,gop",88weighted,
2395,,What We Do and Don't Know About the Washington Navy Yard Mass Shooting,washington navy yard,,['gop'],"house,gop",88weighted,Washington Navy Yard Mass Shooting
516,,WHAT THAE FUCK ISBWE HAPOENFING https://t.co/oAPzq18i96,,,"['adviser', 'fox news', 'fbi']","fbi,fisa,fox news",GeneMcVay,
301,,What kind of society do we have where gunplay is the go-to of conflict resolution for kids ? #MarysvilleShooting,,carter page,['carter page'],carter,Utleyjacobite,
2983,,What juuuust happened ? C'mon CFC,,,['gop'],"house,gop",88weighted,
412,,What Does the Snapchat Data Breach Mean for the Global Big Data Market in the Retail Sec ... #socialmedia #happening,snapchat,carter page,['carter page'],,HT4Real,
909,"MayThe4thBeWithYou, AHCA, RepealAndReplace, Resist, TheResistence, ShowSupport",What about those 2 people who killed Las Vegas cops ? You mean the 2 Occupy protesters ? …,las vegas,,[],,DeepStateAI,Las Vegas
2272,,WFUNA Secretary-Generals Trip to Korea : September 2014 #HumanRights,"wfuna,korea",,['gop'],"house,gop",88weighted,Korea
2621,,"Went shooting with astherosphoto today . Working on my model face pose . @ Bronx , NY https://instagram.com/p/34bOocLq3P/",,,['gop'],"house,gop",88weighted,Bronx
2789,,Wendy 's Probes Reports of Credit Card Breach - Krebs on Security,"wendy 's,krebs on security",,['gop'],"house,gop",88weighted,"Wendy,Credit Card Breach,Security"
1727,,"Wendy 's looks into claims of a credit card data breach If you grabbed a bite to eat at a Wendy 's ( you know , the ...","wendy 's,wendy 's",,['gop'],"house,gop",88weighted,"Wendy,Wendy"
3431,,Wendy 's looks into claims of a credit card data breach by #NextDoorNerd,wendy 's,,['gop'],"house,gop",88weighted,Wendy
2812,,"Wendy 's looks into claims of a credit card data breach : If you grabbed a bite to eat at a Wendy 's ( you know , t ...","wendy 's,wendy 's",,['gop'],"house,gop",88weighted,"Wendy,Wendy"
1660,,Wendy 's looks into claims of a credit card data breach,wendy 's,,['gop'],"house,gop",88weighted,Wendy
2716,,Wendy 's investigating a possible credit card breach,wendy 's,,['gop'],"house,gop",88weighted,Wendy
3211,,Wendy 's finds malware at some restaurants during data breach investigation #Columbus,wendy 's,,['gop'],"house,gop",88weighted,Wendy
1471,,Wendy 's Credit Card Breach Prompts Company Investigation : Report pic.twitter.com/GmsWEIVCkS,wendy 's,,['gop'],"house,gop",88weighted,"Wendy,Credit Card Breach"
578,AHCA,"Welp that was fast , didn't even wait until black Monday #ChipKelly #Eagles",,,[],,twilabrase,
151,,"Welp , another security breach for #DayZ and Arma 3 dev Bohemia Interactive pic.twitter.com/EndtZPlhWz","#dayz,arma 3,bohemia interactive",fisa,[],"comey,weiner",truth_trumpet,"Arma,Bohemia Interactive"
2566,,Well-funded may be ecommerce game-changer - Yahoo News UK #martesTIC91,yahoo news uk,,['gop'],"house,gop",88weighted,Yahoo News UK
2971,,well time to sit here until thursday,,,['gop'],"house,gop",88weighted,
2522,,Well if the FBI sent a warning then I guess I'm not going to class tomorrow,fbi,,['gop'],"house,gop",88weighted,FBI
2927,,"Well after that shitshow of a 1st qtr if you told me the #Colts would only be down by 4 at half , I'd have taken it in an instant #MNF",#colts,,['gop'],"house,gop",88weighted,
3530,,Well .. I do my 5th fact hehe natbynature @thebethphoenix https://t.co/ti6kTleR16,,,['gop'],"house,gop",88weighted,
3369,,"Welcome to Monday . If you feel like Hulk , pop down to your local coffee shop , and feel like Yoda again . #Mondays","hulk,yoda",,['gop'],"house,gop",88weighted,Yoda
2196,,"Welcome october \ =D / Semoga menjadi lebih baik lagi , hubungan nya makin baik , gasuka berantem lagi , makin sayang sama aku :D Missyou : * &lt; 3",,,['gop'],"house,gop",88weighted,
3195,,"Weight Watchers ' Filling &amp; Healthy ' - Review : I've been on weight watchers now since October last year , where ...","weight watchers ' filling &amp; healthy ',weight watchers",,['gop'],"house,gop",88weighted,Weight Watchers
3482,,Weekly Barometric Pressure Wed Oct 21 07:15 : 10 AEDT 2015 https://t.co/O3GHfeu80Q,,,['gop'],"house,gop",88weighted,
3002,,"Weekend Weirdness : The Secret to Defeating ISIS is Reggae , Mon",isis,,['gop'],"house,gop",88weighted,"ISIS,Mon"
930,obamacare,Wednesday Papers : Death knell sounds for UK executive pensions : And UK recovery ' motors ahead ' as faster growt ...,"uk,uk",,['health insurance'],,JoshKWill,UK
3276,,Wednesday need to hurry up &amp; get here .,,,['gop'],"house,gop",88weighted,
2558,,Wednesday midweek already ! AM everyone ...,,,['gop'],"house,gop",88weighted,
1910,,Wednesday 's Sports In Brief,,,['gop'],"house,gop",88weighted,
3044,,Wednesday .,,,['gop'],"house,gop",88weighted,
1059,,"Wednesday , April 08 , 2015 : JumpStart by Robb Armstrong for April 08 , 2015","jumpstart,robb armstrong",,['gop'],"house,gop",88weighted,Robb Armstrong
2922,,wed are red are grue,,,['gop'],"house,gop",88weighted,
2313,,Wed 17:00 : Partly Cloudy ; Temp - 12.4 C ; Windchill -15 ; Humidity 79% ; Press 103.6 kPa / rising .,,,['gop'],"house,gop",88weighted,
3588,,"Website of the European Central Bank (#ECB ) has been hacked , with personal information stolen . | #banking #breach","european central bank,(#ecb",,['gop'],"house,gop",88weighted,European Central Bank
527,,We're saving you gas $ this AM and the latest on a deadly shooting in Miami on @9andShine @wusa9 until 7am .,miami,"fbi,obama team","['fbi', 'fisa court']",obama,MorvantCheryl,Miami
356,"IToldYa, LoveYouObama","We're having a photo group at the church , Thursday at 7 , in room 302 ! For more details contact : @brandondeepwell !",,carter page,"['carter page', 'a spy', 'spy']",carter page,Elvisnmore,
148,TrumpRussia,"We're getting all we can from the shooting that happened this morning at Marysville Pilchuck . Stay with us on @KIRORadio , @Mynorthwest",marysville pilchuck,"carter page,russian",['carter page'],carter page,JebBoosh,Marysville Pilchuck
2769,,We're Blessed to welcome Bishop Richard Isindu - #RIOAfrica during our 9 &amp; 11 am services Sunday Aug 9 @PacerHepperly,bishop richard isindu,,['gop'],"house,gop",88weighted,Bishop Richard Isindu
22,,We're #LiveOnKOMO at 5 with new info out of DC Navy shooting and gunman 's Seattle ties . @MichelleKOMO digs into Aaron Alexis ' past .,"dc,seattle,aaron alexis",,[],,CaronScott5,"DC Navy,Seattle,Aaron Alexis"
218,,"We will have a new name on January 14th , looking forward to the unveiling of the new brand ! https://t.co/pWIaxqHK7i",,"fbi,trump,carter page,the washington post,barry","['adviser', 'who', 'fbi', 'carter page', 'the washington post']","fbi,fisa,trump,washington post,barry",Tolltac,
1538,,"We will be @ Made in Oklahoma Wine , Beer , &amp; Food Festival tomorrow in #OKC- come see us ! Check out food vendors : YUM","oklahoma wine , beer , &amp; food festival",,['gop'],"house,gop",88weighted,Oklahoma Wine
2600,,"We present to you : TRUE ( and modern ) ISLAM , CHRISTIANITY , &amp; JUDAISM , ( all three , together ) in line WITH THE 21ST ... https://t.co/BnhGQex6SW",,,['gop'],"house,gop",88weighted,"ISLAM,CHRISTIANITY,JUDAISM"
2494,,We hope you all enjoyed our tour of our #GansettLane ! Check back with us tomorrow to see which Hamptons property ... https://t.co/O0WlOcgzsP,"#gansettlane,hamptons",,['gop'],"house,gop",88weighted,Hamptons
2516,,We have a special studio guest lined up for tomorrow afternoon ! #TopJock https://t.co/eJmxeUoSyr,,,['gop'],"house,gop",88weighted,
1554,,We are also fee-free for #publiclandsday ! https://t.co/bRkMAfRP0C,,,['gop'],"house,gop",88weighted,
67,,Watching for #severewx potential on Saturday .,,trump,[],,Karadur_Zero,
1177,,"Watch your neck , may chiki nae nae . Hahaha rp",,,['gop'],"house,gop",88weighted,
1085,,"Watch the media for the words "" lone wolf "" and "" mental illness "" and not "" suspected white supremacist with neo-nazis ties "". #MesaShooting",,,['gop'],"house,gop",88weighted,
3176,,"Watch Sergey Kovalev vs Nadjib Mohammedi Live streaming HBO Boxing 2015 , 24 July . TV apps on iPad , iPhone , PC ,...","sergey kovalev,nadjib mohammedi,hbo boxing,ipad,iphone,pc",,['gop'],"house,gop",88weighted,"Sergey Kovalev,Mohammedi Live,HBO Boxing 2015,iPad,iPhone"
2184,,Watch : Terror #Suspect Shot and #Killed in #Boston - Jun 2 @ 2:06 PM ET,#boston,,['gop'],"house,gop",88weighted,#Boston
282,"Trump, WTF",Wasteland Wednesday !: https://t.co/IsofFwZzcv,,,[],,CharlizeTheroff,
325,,Washington Navy Yard Map Reveals Shooting Area,washington navy yard,,[],,the1duncan,Washington Navy
985,,Washington Marysville Pilchuck High School Reports Shooting - … pic.twitter.com/j7jrUDUhSS,"washington,marysville pilchuck high school",house republicans,[],house,RitaTanos,Washington Marysville Pilchuck High School Reports Shooting
646,,"Was it easy for China to breach Hillary 's server & then hack our U.S , Govt system ? YOU BETCHA ! @realDonaldTrump @HillaryClinton @GOP","china,hillary,u.s",,['same drooling moron'],,Van_der_Leun,"China,Hillary"
2204,,Want to learn more about local woodpeckers ? The CRD is hosting a guided walk Jan 9th : https://t.co/QCbEIAuaI5 #yyj https://t.co/jFk2Mc4fBf,crd,,['gop'],"house,gop",88weighted,
157,funder,Waking up at 4am for a day trip to Chicago tomorrow #PartyHardy #SleepierHardier,chicago,"fbi,trump,carter page","['adviser', 'fbi', 'carter page']","fbi,fisa,trump",susan_dover,Chicago
2209,,Wake me up when September ends ... hahah chos ! #ALDUBBaeYaya,wake me up when september ends,,['gop'],"house,gop",88weighted,
626,AHCA,WAIT HOW THE FUCK IS IT ALREADY JULY 15,,,['senate'],,jp_polewczak,
3652,,wAIT DID CAMERON LEAVE THE BAND https://t.co/DB4QGzdA9c,cameron,,['gop'],"house,gop",88weighted,CAMERON
18,,Waco PD was on scene before the shooting started because officers knew the gangs were going to meet . Police say this prevented more deaths,waco pd,maxine waters,['maxine waters'],,thecircledancer,Waco PD
