RussiaGate	REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'	REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'	FBI,Trump Aide,The Russian Government	JanKimbrough	na
nan	Very well explained take on Carter/ Russia/ FISA/ Trump sitch.	Very well explained take on Carter/ Russia/ FISA/ Trump sitch.	 Carter Russia FISA Trump	jannypie	na
nan	Maxine Waters. Mam. Esq. Keep On.	Maxine Waters. Mam. Esq. Keep On.	Maxine Waters	thecircledancer	na
trumprussia	"A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia
"	"A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia
"	FBI,Carter Page,Russia	funder	na
nan	FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post so there was surveillance	FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post so there was surveillance	FBI,Trump,Carter Page,The Washington Post	LSURay	na
nan	"""Sean, say something really fucked up today maybe say Hocaust Centers or something so they don't talk about Carter Page"""	"""Sean, say something really fucked up today maybe say Hocaust Centers or something so they don't talk about Carter Page"""	Sean,Carter Page	Diane_Warren	na
nan	Great	Great		CaronScott5	na
nan	Just reported by Chris Hayes, Carter page was surveilled by FBI via FISA warrant. Buh bye, Carter.	Just reported by Chris Hayes, Carter page was surveilled by FBI via FISA warrant. Buh bye, Carter.	Chris Hayes,Carter page,Carter	TrumpHaterShirt	na
nan	FBI obtained FISA warrant to monitor former Trump adviser Carter Page.	FBI obtained FISA warrant to monitor former Trump adviser Carter Page.	FBI,Trump,Carter Page	christineltroch	na
nan	This is huge. Bar for a FISA warrant targetting US person is knowingly acting as foreign agent in a way that violates	This is huge. Bar for a FISA warrant targetting US person is knowingly acting as foreign agent in a way that violates		racheline_m	na
nan	Umm. Should we tell him he's delusional?	Umm. Should we tell him he's delusional?		JetlifeMegs	na
hardball	"Sean Spicer mis-spoke, Libs loved it, yet forget the DOJ still worked all day on indictments
 Carter Page"	"Sean Spicer mis-spoke, Libs loved it, yet forget the DOJ still worked all day on indictments
 Carter Page"	Sean Spicer,Libs,indictmentsCarter Page	DCjusticeseeker	na
nan	@mcspocky Looks like Carter Page will be one of the first dominoes to fall. The Syria strike was a distraction away from . Stay focused	@mcspocky Looks like Carter Page will be one of the first dominoes to fall. The Syria strike was a distraction away from . Stay focused	Carter Page,Syria	JrgLaw	na
nan	FBI secured FISA warrant against Carter Page over concerns he was 'was acting as an agent' of Russia | Raw Story	FBI secured FISA warrant against Carter Page over concerns he was 'was acting as an agent' of Russia | Raw Story	Carter Page,Russia	blazinbabs67	na
_flanders	The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in...  by  via @c0nvey	The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in...  by  via @c0nvey	FBI,Trump,Carter Page	Sparblack1213	na
nan	@seanhannity what about this spy...	@seanhannity what about this spy...		pigs_wing	na
nan	Oh you don't say?	Oh you don't say?		DixiDoodle	na
nan	@FoxNews @dkrwilliams @oreillyfactor WaPo: FBI wiretapped Trump sorta-adviser Carter Page in 2016. 'Only  American directly targeted with FISA warrant' by Dems & Obama!	@FoxNews @dkrwilliams @oreillyfactor WaPo: FBI wiretapped Trump sorta-adviser Carter Page in 2016. 'Only  American directly targeted with FISA warrant' by Dems & Obama!	FBI,Carter Page,FISA,Dems,Obama	glennyork	na
nan	carter page you dumbass. c'mon carter. get a clue carter page	carter page you dumbass. c'mon carter. get a clue carter page	carter page,carter page	LydiaBurrell	na
nan	Well at least this takes the heat off @PressSec	Well at least this takes the heat off @PressSec		LisaBednarski	na
nan	But Carter Page was Manafort's biz partner so he could have been caught in the surveillance	But Carter Page was Manafort's biz partner so he could have been caught in the surveillance	Carter Page	omyword	na
nan	Most delicious part of the WaPo Carter Page story.	Most delicious part of the WaPo Carter Page story.	Carter Page	HaroldItz	na
nan	FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post	FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post	FBI,Trump,Carter Page,The Washington Post	RadioChio	na
inners	"So what will be the fate of Carter Page? Will he be mysteriously poisoned or accidentally ""fall"" out of a 4th-story window?"	"So what will be the fate of Carter Page? Will he be mysteriously poisoned or accidentally ""fall"" out of a 4th-story window?"	Carter Page	MeLoseBrainUhOh	na
TrumpRussia	We now return to or regularly scheduled program.	We now return to or regularly scheduled program.		RyGil01	na
nan	Drips become waterfall, part I.	Drips become waterfall, part I.		charnesshartman	na
nan	and again a bang up job by jim comey letting the public know who was under investigation last summer	and again a bang up job by jim comey letting the public know who was under investigation last summer	jim	marcushjohnson	na
TrumpRussia, TheResistance	"@ funder  
"	"@ funder  
"		NoAltFacts1984	na
sarahsettgo	The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page...  by  via @c0nvey	The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page...  by  via @c0nvey	FBI,Trump,Carter Page	StonZMGMT	na
nan	"Back on the front page where it belongs. It should only be a few minutes before the next crazy diversion.

 
"	"Back on the front page where it belongs. It should only be a few minutes before the next crazy diversion.

 
"		ZazuRules	na
thingsweheart	FBI obtained a FISA warrant last summer to monitor Trump adviser Carter Page...  by  via @c0nvey	FBI obtained a FISA warrant last summer to monitor Trump adviser Carter Page...  by  via @c0nvey	FBI,Trump,Carter Page	DecentFida	na
nan	GOP and DEM Sorosian trolls out in full force 2 keep Carter Page from trending ps does George have healthcare perks?	GOP and DEM Sorosian trolls out in full force 2 keep Carter Page from trending ps does George have healthcare perks?	DEM Sorosian,Carter Page,George	tiwhitter	na
nan	Ahh... hello?!	Ahh... hello?!		pammy_facepaint	na
nan	The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a probe of campaign’s Russia ties	The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a probe of campaign’s Russia ties	FBI,Trump,Carter Page,Russia	kwanzer	na
nan	Carter Page claims the FBI/JD wire tap is just like when the FBI tapped Dr.King... yeah, brah, just like that...except not in every way.	Carter Page claims the FBI/JD wire tap is just like when the FBI tapped Dr.King... yeah, brah, just like that...except not in every way.	Carter Page,FBI,King	Aarapparent	na
nan	FBI obtained FISA warrant to monitor former Trump adviser Carter Page via /r/politics	FBI obtained FISA warrant to monitor former Trump adviser Carter Page via /r/politics	FBI,Trump,Carter Page	SubPolitics	na
nan	A FISA warrant against US national requires evidence they knowingly participated in clandestine intel ops.	A FISA warrant against US national requires evidence they knowingly participated in clandestine intel ops.	US national	BrianNormoyle	na
nan	@rideatdawn Nah... hack dossier damn it!	@rideatdawn Nah... hack dossier damn it!		EricJGilbert	na
nan	This Breitbart guy.	This Breitbart guy.		snottypants	na
nan	If Nunes saw Carter Page unmasked on a FISA warrant, no wonder he ran to the White House...wonder what else he saw? Rep Schiff do your thing	If Nunes saw Carter Page unmasked on a FISA warrant, no wonder he ran to the White House...wonder what else he saw? Rep Schiff do your thing	Nunes,Carter Page,White House	spokanetom	na
nan	@united just gave lifetime premier status to @PressSec and Carter Page.	@united just gave lifetime premier status to @PressSec and Carter Page.	Carter Page	BrianWithAnE	na
nan	FBI obtained FISA warrant to monitor former Trump adviser Carter Page	FBI obtained FISA warrant to monitor former Trump adviser Carter Page	FBI,Trump,Carter Page	ele_wolfe	na
nan	But the problem is the leaks, right 45?	But the problem is the leaks, right 45?		mdh9876	na
nan	@RDebag @jaketapper @MichLKosinski Like I said (and the FBI said) Zero evidence. Just BS conjecture. Is carter page being charged? No.	@RDebag @jaketapper @MichLKosinski Like I said (and the FBI said) Zero evidence. Just BS conjecture. Is carter page being charged? No.	carter page	Inglorious123	na
TrumpRussia, LoserPOTUS	The walls inch ever closer. Hang in there, folks. Stay focused on  and  will be gone soon.	The walls inch ever closer. Hang in there, folks. Stay focused on  and  will be gone soon.		BillSchultzeJr	na
spicer, SyriaStrikes, TrumpRussiaCollusion	Enough of  and  let's get back to the basics	Enough of  and  let's get back to the basics		RobertDriemeyer	na
nan	"""Carter Page"""	"""Carter Page"""	Carter Page	justsickoflies	na
nan	Comrade Comey did as his Puppet Master ordered.	Comrade Comey did as his Puppet Master ordered.		truth_trumpet	na
nan	@FoxNews @dkrwilliams @oreillyfactor FBI  / Hillary's Andrew McCabe was secretly working with Lynch/Obama/Rice to spy on Donald Trump team VIA any means necessary! Carter Page	@FoxNews @dkrwilliams @oreillyfactor FBI  / Hillary's Andrew McCabe was secretly working with Lynch/Obama/Rice to spy on Donald Trump team VIA any means necessary! Carter Page	FBI,Hillary,Andrew McCabe,Donald Trump,Carter Page	glennyork	na
nan	Here we go again...	Here we go again...		WhyAsk65	na
nan	FISA court granted FBI authority to monitor Trump adviser Carter Page during campaign:  via @slate	FISA court granted FBI authority to monitor Trump adviser Carter Page during campaign:  via @slate	Trump,Carter Page	slatest	na
nan	So proof that Trump's team was colluding with the Russians	So proof that Trump's team was colluding with the Russians	Trump	Karadur_Zero	na
nan	Well...	Well...		DalanOverstreet	na
inners, msnbc, cnn	Who Is Carter Page? A Liar. 8 Things You Need to Know About the Former Trump Adviser.	Who Is Carter Page? A Liar. 8 Things You Need to Know About the Former Trump Adviser.	Carter Page	BlackJesuscom	na
nan	He's busy trying to destroy the lives of minorities across the country.	He's busy trying to destroy the lives of minorities across the country.		jmichaelkell	na
nan	Sure hope he does and soon.	Sure hope he does and soon.		sdbees1953	na
nan	Page again. Poor guy…	Page again. Poor guy…		DonnaJo1002	na
nan	"imagine trying to spin this as good for Trump

this might be the worst thing thats come out so far"	"imagine trying to spin this as good for Trump

this might be the worst thing thats come out so far"		Philatticus	na
nan	FBI obtained a FISA warrant on Carter Page (former Trump advisor) on basis of probable cause he was operating as a foreign Russia agent.	FBI obtained a FISA warrant on Carter Page (former Trump advisor) on basis of probable cause he was operating as a foreign Russia agent.	FBI,Carter Page,Russia	dnmilikan	na
inners	@politicques They tried to say they'd never even heard the name Carter Page! I saw 45* call him by name as a way to impress.	@politicques They tried to say they'd never even heard the name Carter Page! I saw 45* call him by name as a way to impress.	Carter Page	NoctilucentClou	na
swamp, DTS	Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser - Fox News The  is deep.	Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump adviser - Fox News The  is deep.	Carter Page,Fox News The	trmcolorado	na
nan	Happy Passover...	Happy Passover...		Analogbear	na
nan	Why did James Comey cover this up while writing the letter about Hillary's emails? Investigate the FBI Director for election tampering too.	Why did James Comey cover this up while writing the letter about Hillary's emails? Investigate the FBI Director for election tampering too.	James,Hillary	drhug	na
nan	@JoeNBC Spicy has been an idiot from day1. Carter Page on the other hand is going to snitch.Hey Joe, I'm looking forward to your spin in the morning	@JoeNBC Spicy has been an idiot from day1. Carter Page on the other hand is going to snitch.Hey Joe, I'm looking forward to your spin in the morning	Carter Page,Joe	mikeinbama	na
nan	Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump┬áadviser	Carter Page: FBI reportedly obtained FISA warrant to monitor ex-Trump┬áadviser	Carter Page	Siddharthjrs	na
nan	It's like Office Space: Each day is worse than the last, so you're always seeing the Trump administration at its lowest point!	It's like Office Space: Each day is worse than the last, so you're always seeing the Trump administration at its lowest point!	Office Space	adammc123	na
FBI	Carter Page lived in Russia for awhile.  Very close to them. Trump said early on he was going to use Page as foreign policy expert.	Carter Page lived in Russia for awhile.  Very close to them. Trump said early on he was going to use Page as foreign policy expert.	Carter Page,Russia,Trump	shortreddog	na
Day82	"Just when the Trump admin gets its very shaky footing. 
Carter Page was being played by Russians. 
Nunes lied about Susan Rice
"	"Just when the Trump admin gets its very shaky footing. 
Carter Page was being played by Russians. 
Nunes lied about Susan Rice
"	Trump,Carter Page,Russians,Susan Rice	Gratkin	na
nan	"exactly
otoh what info could have been gleaned from this campaign nobody"	"exactly
otoh what info could have been gleaned from this campaign nobody"		alcamus	na
Inners, p2, TrumpRussia, tcot	Whoa. @washingtonpost : FBI Granted FISA Warrant to Monitor Fmr. Trump Advisor Carter Page.	Whoa. @washingtonpost : FBI Granted FISA Warrant to Monitor Fmr. Trump Advisor Carter Page.	Monitor Fmr,Carter Page	craftyme25	na
nan	My pick≡ƒñæ	My pick≡ƒñæ		pammykaye	na
nan	Carter Page about to be thrown under a bus so hard he'll wish he was flying United.	Carter Page about to be thrown under a bus so hard he'll wish he was flying United.	Carter Page	JeffreySconce	na
nan	I would NEVER contradict, but, Sam Clovis?? @yottapoint	I would NEVER contradict, but, Sam Clovis?? @yottapoint	Sam Clovis	ChristinLuvsSno	na
nan	Oh boy.	Oh boy.		wandsci	na
nan	"Carter Page

FBI convinced FISA judge to provide warrant. Based on what? We don't know.

"	"Carter Page

FBI convinced FISA judge to provide warrant. Based on what? We don't know.

"	Carter PageFBI	unscriptedmike	na
TeamTrumpRussia	is gonna get busted. Oh dear....whatever will we do when the trash is taken out of the Whitehouse to the dump? Call HRC!!!	is gonna get busted. Oh dear....whatever will we do when the trash is taken out of the Whitehouse to the dump? Call HRC!!!		Mrsresistor	na
nan	We now return to our regularly scheduled programming.	We now return to our regularly scheduled programming.		RyGil01	na
TrumpRussiaCoverUp, 25TrumpNow	"What kinda crazy sh*t will Sean Spicer say to divert attention from this bombshell?  
"	"What kinda crazy sh*t will Sean Spicer say to divert attention from this bombshell?  
"	Sean Spicer	25trumpnow	na
nan	When are we gonna get the big news of russian collusion after a year of duplicitous wiretaps of Trump's entire team?	When are we gonna get the big news of russian collusion after a year of duplicitous wiretaps of Trump's entire team?	Trump	Dont_be_a_dweeb	na
nan	@selectedwisdom @washingtonpost it seems Trump's wiretapping accusation is an aggrandized truth-stretched variant of what happened to Page	@selectedwisdom @washingtonpost it seems Trump's wiretapping accusation is an aggrandized truth-stretched variant of what happened to Page	Trump	JennyGermaine	na
nan	****FBI reportedly probed ex-Trump aide Carter Page during campaign****  via @nypost	****FBI reportedly probed ex-Trump aide Carter Page during campaign****  via @nypost	Carter Page	jerZboyUSA	na
nan	FBI got FISA warrant 2 monitor Trump adviser Carter Page. Why those connected 2 @POTUS also connected 2 Russia?	FBI got FISA warrant 2 monitor Trump adviser Carter Page. Why those connected 2 @POTUS also connected 2 Russia?	Trump,Carter Page,Russia	TVDExcel6	na
nan	wow they had a warrant this is just like watergate	wow they had a warrant this is just like watergate		UrbanAchievr	na
nan	These Trump people have no shame.	These Trump people have no shame.		rachelbailin	na
Davenport, Iowa	FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post	FBI obtained FISA warrant to monitor former Trump adviser Carter Page - Washington Post	FBI,Trump,Carter Page,Washington Post	DavenportIowaa	na
nan	Washington Post FBI obtained FISA warrant to monitor former Trump adviser Carter Page Washington Post The FBIΓÇª	Washington Post FBI obtained FISA warrant to monitor former Trump adviser Carter Page Washington Post The FBIΓÇª	Washington Post,Trump,Carter Page Washington Post The FBIΓÇª	NewsToppers	na
nan	@ZZMAMA1 So, Carter Page and Spicer are having bad days...slmfao.	@ZZMAMA1 So, Carter Page and Spicer are having bad days...slmfao.	Carter Page,Spicer	yynn6001	na
nan	I mean...	I mean...		televisionwhore	na
nan	@billbong9059 @realDonaldTrump FBI and the Justice Department obtained the warrant targeting Carter Page communications. How'd they get that?Probable cause.	@billbong9059 @realDonaldTrump FBI and the Justice Department obtained the warrant targeting Carter Page communications. How'd they get that?Probable cause.	Justice Department,Carter Page	christy_harlan	na
nan	Im going to lose my mind cnn shows the spicer interview with wolf one more time. Where the hell is carter page story?	Im going to lose my mind cnn shows the spicer interview with wolf one more time. Where the hell is carter page story?	carter page story	anuj_pant6	na
nan	I think we discovered today that @seanspicer is a closet Nazi.	I think we discovered today that @seanspicer is a closet Nazi.	Nazi	kimijtoo	na
nan	"Small starter list of today's new swept under the magic carpet:

1. AG Sessions
2. Carter Page
3. Devin Nunes

Ketchup!"	"Small starter list of today's new swept under the magic carpet:

1. AG Sessions
2. Carter Page
3. Devin Nunes

Ketchup!"	AG Sessions2,Carter Page3,Devin NunesKetchup	Hartpolitics	na
nan	A FISA warrant was granted for Carter Page huh??? 45* not looking good at all.	A FISA warrant was granted for Carter Page huh??? 45* not looking good at all.	Carter Page	MarvB_	na
TrumpRussia	New details have emerged in  probes	New details have emerged in  probes		Amour_Beignets	na
nan	Everything you said is true	Everything you said is true		mary_sturino	na
Trumprussia, RussiaGate	Lock them all up! FLYNN, PAGE, TRUMP is responsible and should be impeached    GRRRR	Lock them all up! FLYNN, PAGE, TRUMP is responsible and should be impeached    GRRRR	FLYNN,PAGE,TRUMP	BillCar62820023	na
nan	nothing to see here move along pay no attention to the man behind the curtain	nothing to see here move along pay no attention to the man behind the curtain		LauraJSilverman	na
nan	"Weakness spreads like fear whenever any such piece fails
That fear begets true confessions.
Hallelujah Gen. Flynn - Mr. Asshole Yellow Belly"	"Weakness spreads like fear whenever any such piece fails
That fear begets true confessions.
Hallelujah Gen. Flynn - Mr. Asshole Yellow Belly"	Flynn,Asshole Yellow Belly	JerryLingle	na
nan	Spicer owes Carter Page...	Spicer owes Carter Page...	Spicer,Carter Page	RockShrimp	na
nan	It's just so fitting that Carter Page sounds like the name of a very lame James Bond ripoff character.	It's just so fitting that Carter Page sounds like the name of a very lame James Bond ripoff character.	Carter Page,James Bond	nmehranfar91	na
nan	Maybe Obama is seeking asylum in Germany	Maybe Obama is seeking asylum in Germany	Obama,Germany	cwa92464	na
nan	"Wait, didn't @maddow crack this can of Carter Page open like, 3 weeks ago? Or someone else..? 

"	"Wait, didn't @maddow crack this can of Carter Page open like, 3 weeks ago? Or someone else..? 

"	Carter Page	realdasein	na
TrumpRussia, RussiaGate	Let's stay focused on	Let's stay focused on		BCaliNYC	na
nan	Comey was doing all this during the time he dropped that Hillary letter on us, btw.	Comey was doing all this during the time he dropped that Hillary letter on us, btw.	Hillary	GottaLaff	na
nan	Why did the FBI suppress the Carter Page story? This is less important than a stupid email server???	Why did the FBI suppress the Carter Page story? This is less important than a stupid email server???	Carter Page	RoguePOTUStaff	na
nan	Dude acts like he's on meth. Sucky liar *and* a tweaker.	Dude acts like he's on meth. Sucky liar *and* a tweaker.		palesnightngale	na
nan	Carter Page	Carter Page	Carter Page	mrKeithBrennan	na
nan	"Many ""holy sh*t""s:
- probable cause that Russian agent was on Trump campaign
- Comey sat on this, made hay over HRC
- Page sez he's like MLK"	"Many ""holy sh*t""s:
- probable cause that Russian agent was on Trump campaign
- Comey sat on this, made hay over HRC
- Page sez he's like MLK"	Russian,Trump campaign- Comey,HRC- Page	hslatkin	na
inners	Trump has access to Intel..He knew of FISA Warrant/Carter Page & still said no when asked if his campaign was n contact w/ Russia	Trump has access to Intel..He knew of FISA Warrant/Carter Page & still said no when asked if his campaign was n contact w/ Russia	Trump,FISA Warrant/Carter Page,Russia	battletested5	na
nan	@AnnCoulter Wow let's talk about FISA that FBI took out on Carter Page 2016.	@AnnCoulter Wow let's talk about FISA that FBI took out on Carter Page 2016.	FBI,Carter Page	llewis88	na
nan	FBI was monitoring Carter Page WTF did Comey come up with those Bogus emails about Clinton @SMShow @OccupyDemocrats @JohnFugelsang @funder	FBI was monitoring Carter Page WTF did Comey come up with those Bogus emails about Clinton @SMShow @OccupyDemocrats @JohnFugelsang @funder	FBI,Carter Page,Clinton	montetjwitter11	na
nan	****FBI obtained FISA warrant to monitor former Trump adviser Carter Page****	****FBI obtained FISA warrant to monitor former Trump adviser Carter Page****	Trump,Carter Page****	jerZboyUSA	na
nan	@shaltsch Sam Clovis.	@shaltsch Sam Clovis.	Sam Clovis	ChristinLuvsSno	na
nan	Comey didn't announce this but on October 28, he went out of his way to announce the non-story of Clinton's emails	Comey didn't announce this but on October 28, he went out of his way to announce the non-story of Clinton's emails	Clinton	kevinmartin823	na
TrumpRussia	"...because he was a Russian agent.  On Trump's campaign team.
"	"...because he was a Russian agent.  On Trump's campaign team.
"	Russian,Trump	GretchenVork	na
nan	We just found out about FISA Warrant n Carter Page and this is the best @realDonaldTrump can come up with to distract?	We just found out about FISA Warrant n Carter Page and this is the best @realDonaldTrump can come up with to distract?	Carter Page	michaelclark50	na
nan	Jail time	Jail time		NazDreaming	na
nan	Let us not be distracted by ignorance, @PressSec	Let us not be distracted by ignorance, @PressSec		cthebones1	na
nan	FBI had probable cause that Trump adviser Carter Page was acting as a foreign agent for Russia & got a FISA warrant	FBI had probable cause that Trump adviser Carter Page was acting as a foreign agent for Russia & got a FISA warrant	Trump,Carter Page,Russia	LauraJSilverman	na
racetowitsec, kremlinklan, putinspuppet	Whichever one doesnt want to be thrown from a building or poisoned	Whichever one doesnt want to be thrown from a building or poisoned		coachcommnsense	na
nan	A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia 	A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia 	FBI,Carter Page,Russia	Anti_DJTrump	na
nan	@JoeNBC PUTIN Puppet Show Is Now. ...Punch & Judy Without the Humor. ...Was Carter Page in Janesville WI in September? Simple Question Yes or No	@JoeNBC PUTIN Puppet Show Is Now. ...Punch & Judy Without the Humor. ...Was Carter Page in Janesville WI in September? Simple Question Yes or No	PUTIN Puppet Show,Judy,Carter Page,Janesville WI	Bulldawg2482	na
nan	@leyles7 Me too.  Have heard about Carter Page?  FBI requested a FISA warrant last year to follow his activities in Russia	@leyles7 Me too.  Have heard about Carter Page?  FBI requested a FISA warrant last year to follow his activities in Russia	Carter Page,FBI,Russia	delvish	na
nan	Yawn	Yawn		CharlieFGordon1	na
nan	@washingtonpost Dear Carter Page, if a judge granted the FISA, THERE WAS EVIDENCE such as you meeting with two known Russian spies. Traitorous!	@washingtonpost Dear Carter Page, if a judge granted the FISA, THERE WAS EVIDENCE such as you meeting with two known Russian spies. Traitorous!	Carter Page	Conscience4	na
nan	"Mutiny from stern to bow
Ah, but I was so much older then, I'm younger than that now"	"Mutiny from stern to bow
Ah, but I was so much older then, I'm younger than that now"		toyns	na
nan	"""probable cause to believe Page was acting as an agent of a foreign power"""	"""probable cause to believe Page was acting as an agent of a foreign power"""	Page	KPCCofframp	na
nan	Maxine Waters is DA WOMAN. THANK YOU for not EVER letting go of the REAL scandal: TREASON, collusion with Russia.	Maxine Waters is DA WOMAN. THANK YOU for not EVER letting go of the REAL scandal: TREASON, collusion with Russia.	Maxine Waters,Russia	aliasvaughn	na
nan	WashPost: FBI granted FISA warrant 2monitor Trump policy adviser Carter Page.FISA court found probable cause DT aide acting as foreign agent	WashPost: FBI granted FISA warrant 2monitor Trump policy adviser Carter Page.FISA court found probable cause DT aide acting as foreign agent	FBI,Carter Page,DT	Edwards20170125	na
nan	@normative Which says a LOT about Carter Page,	@normative Which says a LOT about Carter Page,	Carter Page	JustCallMeEd	na
inners, maddow, lastword, TrumpRussia, Russiagate	"
FBI Counterintelligence Obtained  FISA Warrant For Carter Page"	"
FBI Counterintelligence Obtained  FISA Warrant For Carter Page"	Carter Page	deck449	na
nan	@proust1974 He was so close to Trump that Flynn said he never even met Carter Page iirc.	@proust1974 He was so close to Trump that Flynn said he never even met Carter Page iirc.	Trump,Flynn,Carter Page	PositiveInt	na
TrumpRussia	"Carter Page had other contacts with Russian operatives that have not been publicly disclosed.
 

"	"Carter Page had other contacts with Russian operatives that have not been publicly disclosed.
 

"	Carter Page,Russian	JebBoosh	na
nan	GOP and DEM	GOP and DEM	DEM	tiwhitter	na
nan	@Reuters Besides Carter Page acting as a foreign agent there has to be alot more in the WH.	@Reuters Besides Carter Page acting as a foreign agent there has to be alot more in the WH.	Carter Page	gs619usmc	na
nan	Comey is a POS. Major press event with Weiner email, but he KNEW about FISA warrant. Did it anyway, knowing the result would help tRump.	Comey is a POS. Major press event with Weiner email, but he KNEW about FISA warrant. Did it anyway, knowing the result would help tRump.	FISA	truth_trumpet	na
nan	What a tangled web they weave... I'm so grateful for our Intel community and FBI who will untangle all of it and lock them up!	What a tangled web they weave... I'm so grateful for our Intel community and FBI who will untangle all of it and lock them up!	FBI	notherringfarts	na
AllColluded	@maddow Seems Carter Page drew the short straw. Trump & Co. offering up Page to FBI to take the blame for Russian interference.	@maddow Seems Carter Page drew the short straw. Trump & Co. offering up Page to FBI to take the blame for Russian interference.	Carter Page,Russian	Aneetchkoo	na
Fiverr	Check this out! I will do computer networking and IT security on   Sean Spicer Carter Page	Check this out! I will do computer networking and IT security on   Sean Spicer Carter Page	Sean Spicer Carter	newton_engineer	na
